Date,Open,High,Low,Close,Adj Close,Volume
2010-02-08,515008.0,520000.0,486080.0,488576.0,426544.71875,16
2010-02-15,477952.0,485952.0,448000.0,454080.0,396428.46875,28
2010-02-22,449152.0,483840.0,448832.0,454720.0,396987.28125,39
2010-03-01,449408.0,449728.0,404992.0,407104.0,355416.6875,32
2010-03-08,404416.0,407296.0,378624.0,382912.0,334296.1875,44
2010-03-15,385536.0,392896.0,367232.0,378240.0,330217.375,51
2010-03-22,381760.0,383360.0,352000.0,364928.0,318595.5,95
2010-03-29,359936.0,369472.0,350208.0,361344.0,315466.59375,51
2010-04-05,359616.0,361728.0,341952.0,342528.0,299039.46875,71
2010-04-12,341568.0,344448.0,319168.0,330496.0,288535.125,117
2010-04-19,334976.0,343744.0,311104.0,312064.0,272443.34375,152
2010-04-26,311232.0,340672.0,309312.0,334400.0,291943.40625,230
2010-05-03,330304.0,482624.0,304320.0,415424.0,362680.375,418
2010-05-10,364288.0,383104.0,331456.0,370944.0,323847.65625,302
2010-05-17,368256.0,460608.0,356096.0,425152.0,371173.28125,394
2010-05-24,422016.0,466048.0,386176.0,395968.0,345694.53125,401
2010-05-31,399552.0,408000.0,365120.0,403968.0,352678.90625,286
2010-06-07,397568.0,445952.0,389376.0,390720.0,341112.8125,488
2010-06-14,379584.0,392320.0,342720.0,349376.0,305018.0625,283
2010-06-21,337024.0,398720.0,335488.0,390080.0,340554.125,423
2010-06-28,390080.0,490624.0,384000.0,467904.0,408497.3125,505
2010-07-05,447936.0,475264.0,400320.0,400320.0,349494.03125,284
2010-07-12,401472.0,407040.0,370048.0,403776.0,352511.28125,304
2010-07-19,402112.0,418112.0,358784.0,359552.0,313902.09375,385
2010-07-26,358400.0,383104.0,344832.0,364672.0,318371.96875,304
2010-08-02,351872.0,357504.0,337344.0,341760.0,298368.96875,238
2010-08-09,337152.0,395200.0,332800.0,388928.0,339548.375,233
2010-08-16,395008.0,399744.0,360640.0,383168.0,334519.6875,247
2010-08-23,374336.0,435136.0,371904.0,401472.0,350499.75,374
2010-08-30,408896.0,427456.0,350080.0,351360.0,306750.15625,334
2010-09-06,355072.0,359616.0,335040.0,337920.0,295016.5625,194
2010-09-13,329536.0,329536.0,302912.0,305216.0,266464.71875,271
2010-09-20,302400.0,303168.0,274304.0,275520.0,240539.09375,475
2010-09-27,274112.0,292416.0,271168.0,284736.0,248584.984375,488
2010-10-04,287744.0,299264.0,269184.0,270528.0,236180.859375,582
2010-10-11,270656.0,278912.0,243520.0,243520.0,212601.890625,627
2010-10-18,243200.0,258496.0,239744.0,240832.0,210255.15625,677
2010-10-25,237952.0,243712.0,229504.0,233280.0,203661.984375,447
