Date,Open,High,Low,Close,20_MA,52_Week_MA,20_Upper_BB,20_Lower_BB,52_Upper_BB,52_Lower_BB,Daily_Return,Cumulative_Return,Std_Dev,Skewness,Kurtosis,Positive_Return_Percentage,Kelly_Ratio,Kelly_Fraction
2015-09-30,190.3699951171875,191.8300018310547,189.44000244140625,191.6300048828125,194.78349990844725,204.87742327176608,201.2610481166206,188.3059517002739,217.89378695139217,191.86105959213998,0.018658355606688604,-0.04519178975258675,0.013276624738920004,-0.04797579858449133,-0.4980670218378669,50.0,-0.020856380492730087,-0.010428190246365043
2015-10-01,192.0800018310547,192.4900054931641,189.82000732421875,192.1300048828125,194.61949996948243,204.84446176382212,201.19559872573367,188.0434012132312,217.94642536318182,191.74249816446243,0.0026091947360005197,-0.04270050919651913,0.012531600031115166,-0.04147353868513497,-0.1745901226131239,50.0,-0.020856380492730087,-0.010428190246365043
2015-10-02,189.7700042724609,195.02999877929688,189.1199951171875,195.0,194.59199981689454,204.82850024883564,201.15630399962333,188.02769563416575,217.96837684935585,191.68862364831543,0.014937776735799435,-0.028400583133602275,0.01301462620018529,-0.11048703175630678,-0.4477617310002553,50.0,-0.020856380492730087,-0.010428190246365043
2015-10-05,196.4600067138672,198.7400054931641,196.3300018310547,198.47000122070312,194.88600006103516,204.83026950542742,201.59781335046839,188.17418677160194,217.9665829320775,191.69395607877735,0.017794878054887775,-0.011111089992264622,0.013089787486296935,-0.27836582696495804,-0.36809124426084194,55.00000000000001,0.08122925755654298,0.04061462877827149
2015-10-06,198.30999755859372,198.97999572753903,197.0,197.7899932861328,194.90400009155275,204.8234617966872,201.64640130303076,188.16159888007473,217.97257070809505,191.67435288527938,-0.003426250468019698,-0.014499271082998089,0.011888742173034856,-0.4234799200531581,-0.2827995160994048,50.0,-0.020856380492730087,-0.010428190246365043
2015-10-07,198.8999938964844,199.8300018310547,197.47999572753903,199.41000366210935,195.13500061035157,204.83526951716496,202.1711287739766,188.09887244672655,217.95927832319808,191.71126071113184,0.008190557818731348,-0.0064274703824015456,0.01157060984147478,-0.6426389934612742,0.1286851034079204,55.00000000000001,0.08122925755654298,0.04061462877827149
2015-10-08,198.9499969482422,201.5500030517578,198.58999633789065,201.2100067138672,195.40300064086915,204.84800033569337,202.94400027816974,187.86200100356857,217.9514007642094,191.74459990717733,0.009026643692398917,0.0025411548250120486,0.011666550887062014,-0.6606596458794586,0.07727406558751637,55.00000000000001,0.08122925755654298,0.04061462877827149
2015-10-09,201.3800048828125,201.8999938964844,200.5800018310547,201.3300018310547,195.63250045776368,204.86257729163538,203.6114868936029,187.65351402192448,217.94174284263937,191.78341174063138,0.0005963675422870907,0.0031390378295566013,0.011644209239622205,-0.6133524852803061,0.05618562324773668,55.00000000000001,0.08122925755654298,0.04061462877827149
2015-10-12,201.4199981689453,201.75999450683597,200.91000366210935,201.5200042724609,195.90800094604492,204.87988498394307,204.31109881604536,187.50490307604449,217.92925365076553,191.8305163171206,0.0009437363516524577,0.004085736605317969,0.01158688540505801,-0.6801716457075767,0.16881589576177225,60.0,0.18331489560581588,0.09165744780290794
2015-10-13,200.6499938964844,202.16000366210935,200.0500030517578,200.25,195.99750061035155,204.90257726816031,204.55181345498278,187.44318776572032,217.8988307020962,191.90632383422442,-0.0063021250770907145,-0.002242137294891533,0.011404605424268672,-0.5250521183432455,0.11877054053509184,55.00000000000001,0.08122925755654298,0.04061462877827149
