Date,Open,High,Low,Close,Adj Close,Volume,Bollinger_High,Bollinger_Low,MACD,Signal,RSI,Pivot,R1,S1,R2,S2,R3,S3,R4,S4,OBV,ATR,%K,%D,Close_diff,Close_log_return,Volume_changes
1993-03-03,45.0,45.15625,44.9375,45.125,25.43305015563965,280100,45.57399178104562,43.154133218954385,0.1251139001109891,0.024125632054588397,66.93404560676876,45.0859375,45.234375,45.015625,45.3046875,44.8671875,45.453125,44.796875,45.7421875,44.4296875,1229100,0.46205357142857145,98.66666666666667,84.6906906906907,0.1875,0.004163781171779514,97700.0
1993-03-04,45.1875,45.1875,44.875,44.875,25.29212188720703,89500,45.58230523173371,43.15206976826629,0.15451131812775287,0.05020276926922129,60.966941369014066,44.953125,45.03125,44.71875,45.265625,44.640625,45.34375,44.40625,45.890625,44.015625,1139600,0.45535714285714285,86.8421052631579,92.46688794057216,-0.25,-0.005555569844601994,-190600.0
1993-03-05,44.9375,45.125,44.71875,44.75,25.221681594848633,40000,45.54733131097979,43.1620436890202,0.16581116052689993,0.07332444752075704,58.17437831611605,44.8359375,44.953125,44.546875,45.2421875,44.4296875,45.359375,44.140625,46.0546875,43.6171875,1099600,0.45982142857142855,81.57894736842105,89.02923976608189,-0.125,-0.0027894020875785254,-49500.0
1993-03-08,44.84375,45.75,44.84375,45.75,25.78529167175293,50800,45.7152884276628,43.072211572337196,0.25254680730085965,0.10916891947677757,70.00938724102093,45.5234375,46.203125,45.296875,46.4296875,44.6171875,47.109375,44.390625,48.2421875,42.8046875,1150400,0.44642857142857145,100.0,89.47368421052632,1.0,0.02210034700066592,10800.0
1993-03-09,45.65625,45.6875,45.5,45.59375,25.69722557067871,169300,45.83066873951979,43.01933126048021,0.3051596723539447,0.148367070052211,66.82749074277766,45.59375,45.6875,45.5,45.78125,45.40625,45.875,45.3125,46.15625,45.03125,981100,0.44642857142857145,94.68085106382979,92.08659947741694,-0.15625,-0.003421145998471254,118500.0
1993-03-10,45.59375,45.6875,45.40625,45.6875,25.75005340576172,194400,45.98951031865525,42.96361468134475,0.35038160739720325,0.18876997752120944,67.7738883071217,45.6171875,45.828125,45.546875,45.8984375,45.3359375,46.109375,45.265625,46.4609375,44.7734375,1175500,0.3861607142857143,97.40259740259741,97.36114948880908,0.09375,0.0020540917869382694,25100.0
1993-03-11,45.71875,45.84375,45.5,45.5625,25.67962074279785,70900,46.105392433104036,42.93210756689596,0.3718474356231454,0.22538546914159663,65.106754780702,45.6171875,45.734375,45.390625,45.9609375,45.2734375,46.078125,45.046875,46.6484375,44.5859375,1104600,0.3950892857142857,88.1578947368421,93.41378106775643,-0.125,-0.0027397277411203274,-123500.0
1993-03-12,45.1875,45.21875,44.8125,45.09375,25.4154109954834,643600,46.12339259901854,42.92973240098146,0.34703465220331964,0.24971530575394124,56.17846680684891,45.0546875,45.296875,44.890625,45.4609375,44.6484375,45.703125,44.484375,46.2734375,43.8359375,461000,0.4330357142857143,68.42105263157895,84.6605149236728,-0.46875,-0.010341353794732595,572700.0
1993-03-15,45.0625,45.3125,45.0625,45.3125,25.538711547851562,310800,46.197590131106566,42.927409868893434,0.34108976887208087,0.2679901983775692,59.00384586950176,45.25,45.4375,45.1875,45.5,45.0,45.6875,44.9375,46.0,44.5,771800,0.421875,75.0,77.19298245614034,0.21875,0.004839276640749232,-332800.0
1993-03-16,45.3125,45.4375,45.3125,45.3125,25.538711547851562,30800,46.23718778581522,43.07218721418478,0.3325450338533429,0.280901165472724,59.00384586950176,45.34375,45.375,45.25,45.46875,45.21875,45.5,45.125,45.71875,44.96875,771800,0.390625,69.0909090909091,70.83732057416267,0.0,0.0,-280000.0
1993-03-17,45.25,45.25,44.96875,45.03125,25.380199432373047,21800,46.21610307630323,43.25264692369677,0.2996248564585642,0.28464590366989206,53.8287621134981,45.0703125,45.171875,44.890625,45.3515625,44.7890625,45.453125,44.609375,45.9140625,44.2265625,750000,0.39732142857142855,50.943396226415096,65.01143510577472,-0.28125,-0.006226239415097988,-9000.0
