Date,Returns,Pos %,Kelly Ratio,Kelly Fraction,Tail Ratio,Sharpe Ratio,Alpha_SPY,Sharpe_std
2010-05-03,0.2422968535532732,0.3981603153745072,-0.1964559380036279,-0.1964559380036279,1.0904083516027834,-0.5791074398936236,-0.0133685527019157,1.1386491010338493
2010-05-17,0.1461354562450998,0.3981603153745072,-0.1964559380036279,-0.1964559380036279,1.0904083516027834,-0.5791074398936236,-0.0133685527019157,1.1386491010338493
2010-06-28,0.1995077507870444,0.3981603153745072,-0.1964559380036279,-0.1964559380036279,1.0904083516027834,-0.5791074398936236,-0.0133685527019157,1.1386491010338493
2011-03-14,0.1031307406482313,0.3981603153745072,-0.1964559380036279,-0.1964559380036279,1.0904083516027834,-0.5791074398936236,-0.0133685527019157,1.1386491010338493
2011-07-11,0.0560284624032474,0.3981603153745072,-0.1964559380036279,-0.1964559380036279,1.0904083516027834,-0.5791074398936236,-0.0133685527019157,1.1386491010338493
2011-08-01,0.2284109240369383,0.3981603153745072,-0.1964559380036279,-0.1964559380036279,1.0904083516027834,-0.5791074398936236,-0.0133685527019157,1.1386491010338493
2011-08-15,0.2046294569772919,0.3981603153745072,-0.1964559380036279,-0.1964559380036279,1.0904083516027834,-0.5791074398936236,-0.0133685527019157,1.1386491010338493
2011-09-26,0.0882355528245957,0.3981603153745072,-0.1964559380036279,-0.1964559380036279,1.0904083516027834,-0.5791074398936236,-0.0133685527019157,1.1386491010338493
2011-11-21,0.1433285864382953,0.3981603153745072,-0.1964559380036279,-0.1964559380036279,1.0904083516027834,-0.5791074398936236,-0.0133685527019157,1.1386491010338493
2011-12-12,0.1109347591058116,0.3981603153745072,-0.1964559380036279,-0.1964559380036279,1.0904083516027834,-0.5791074398936236,-0.0133685527019157,1.1386491010338493
2012-05-14,0.1670393376435419,0.3981603153745072,-0.1964559380036279,-0.1964559380036279,1.0904083516027834,-0.5791074398936236,-0.0133685527019157,1.1386491010338493
2012-05-28,0.078864352330122,0.3981603153745072,-0.1964559380036279,-0.1964559380036279,1.0904083516027834,-0.5791074398936236,-0.0133685527019157,1.1386491010338493
2012-11-12,0.0563596416050244,0.3981603153745072,-0.1964559380036279,-0.1964559380036279,1.0904083516027834,-0.5791074398936236,-0.0133685527019157,1.1386491010338493
2012-12-24,0.066699511057692,0.3981603153745072,-0.1964559380036279,-0.1964559380036279,1.0904083516027834,-0.5791074398936236,-0.0133685527019157,1.1386491010338493
2013-04-15,0.0735574503580771,0.3981603153745072,-0.1964559380036279,-0.1964559380036279,1.0904083516027834,-0.5791074398936236,-0.0133685527019157,1.1386491010338493
2013-06-17,0.0640198712191375,0.3981603153745072,-0.1964559380036279,-0.1964559380036279,1.0904083516027834,-0.5791074398936236,-0.0133685527019157,1.1386491010338493
2014-04-07,0.071677673007505,0.3981603153745072,-0.1964559380036279,-0.1964559380036279,1.0904083516027834,-0.5791074398936236,-0.0133685527019157,1.1386491010338493
2014-12-08,0.0782881462189057,0.3981603153745072,-0.1964559380036279,-0.1964559380036279,1.0904083516027834,-0.5791074398936236,-0.0133685527019157,1.1386491010338493
2015-01-12,0.0523180330598209,0.3981603153745072,-0.1964559380036279,-0.1964559380036279,1.0904083516027834,-0.5791074398936236,-0.0133685527019157,1.1386491010338493
2015-01-26,0.0906556035791095,0.3981603153745072,-0.1964559380036279,-0.1964559380036279,1.0904083516027834,-0.5791074398936236,-0.0133685527019157,1.1386491010338493
2015-03-09,0.055190939706585,0.3981603153745072,-0.1964559380036279,-0.1964559380036279,1.0904083516027834,-0.5791074398936236,-0.0133685527019157,1.1386491010338493
2015-08-17,0.2334684533190714,0.3981603153745072,-0.1964559380036279,-0.1964559380036279,1.0904083516027834,-0.5791074398936236,-0.0133685527019157,1.1386491010338493
2015-08-31,0.0893446395645967,0.3981603153745072,-0.1964559380036279,-0.1964559380036279,1.0904083516027834,-0.5791074398936236,-0.0133685527019157,1.1386491010338493
2015-09-21,0.0722084891027541,0.3981603153745072,-0.1964559380036279,-0.1964559380036279,1.0904083516027834,-0.5791074398936236,-0.0133685527019157,1.1386491010338493
2015-11-09,0.1370472520404568,0.3981603153745072,-0.1964559380036279,-0.1964559380036279,1.0904083516027834,-0.5791074398936236,-0.0133685527019157,1.1386491010338493
2016-01-11,0.0803648752316459,0.3981603153745072,-0.1964559380036279,-0.1964559380036279,1.0904083516027834,-0.5791074398936236,-0.0133685527019157,1.1386491010338493
2016-06-20,0.053312458358971,0.3981603153745072,-0.1964559380036279,-0.1964559380036279,1.0904083516027834,-0.5791074398936236,-0.0133685527019157,1.1386491010338493
2016-09-05,0.0712270357512205,0.3981603153745072,-0.1964559380036279,-0.1964559380036279,1.0904083516027834,-0.5791074398936236,-0.0133685527019157,1.1386491010338493
2016-10-31,0.0938628045862641,0.3981603153745072,-0.1964559380036279,-0.1964559380036279,1.0904083516027834,-0.5791074398936236,-0.0133685527019157,1.1386491010338493
2016-11-28,0.0790876415997032,0.3981603153745072,-0.1964559380036279,-0.1964559380036279,1.0904083516027834,-0.5791074398936236,-0.0133685527019157,1.1386491010338493
2018-02-05,0.1453038646331241,0.3981603153745072,-0.1964559380036279,-0.1964559380036279,1.0904083516027834,-0.5791074398936236,-0.0133685527019157,1.1386491010338493
2018-03-19,0.2361648332385599,0.3981603153745072,-0.1964559380036279,-0.1964559380036279,1.0904083516027834,-0.5791074398936236,-0.0133685527019157,1.1386491010338493
2018-04-02,0.057828611700136,0.3981603153745072,-0.1964559380036279,-0.1964559380036279,1.0904083516027834,-0.5791074398936236,-0.0133685527019157,1.1386491010338493
