Month,Avg Returns (%),StDev (%),Pos %,Skewness,Kurtosis,Avg Kelly Ratio,Avg Kelly Fraction,Up Days,Down Days
Jan,1.643872810885938,4.9996682587993915,45.45454545454545,0.942099655751744,0.9207146212184538,0.2723195622864977,0.13615978114324884,5,5
Feb,-0.9138674998228876,5.903039392949467,45.45454545454545,-0.4964378481261525,-0.53807822264482,-0.3751850318018843,-0.18759251590094214,5,5
Mar,-1.2995831353488,12.370337832460738,72.72727272727273,-2.4840280693947054,4.799258296979906,-0.9016920545529625,-0.45084602727648126,8,2
Apr,0.8374996755015228,8.492045185182809,36.36363636363637,0.2529766354274274,0.6204213124132658,0.054282114259471936,0.027141057129735968,4,6
May,1.8906211097411962,5.492621689051227,63.63636363636363,0.07432439947028038,-0.19985163262504058,0.30360946930895844,0.15180473465447922,7,3
Jun,-0.21218128077469176,6.746241807065485,54.54545454545454,-0.13726240000840786,-0.6928048063546166,-0.19822190820704644,-0.09911095410352322,6,4
Jul,3.5202618124709804,5.254107024715402,72.72727272727273,0.5526457193038675,0.5052724641246669,0.5920292750101315,0.29601463750506574,8,2
Aug,-0.5292818314450315,4.717328720846047,45.45454545454545,-1.402450340900218,1.6064282377560213,-0.31324310983128817,-0.15662155491564408,5,5
Sep,-2.2473864081158776,9.369908846659346,27.27272727272727,-2.119789229146634,4.154732049370527,-0.7881475794966699,-0.39407378974833496,3,6
Oct,-1.1742240651202922,7.7384306643316725,45.45454545454545,-1.3255769629771075,1.6422500908676536,-0.4169271972431487,-0.20846359862157435,5,5
Nov,4.715621813049561,9.49656027240332,63.63636363636363,1.0585467457677242,-0.21253511001238667,0.5042040250040447,0.25210201250202235,7,3
Dec,1.4748277058405102,4.575371808431961,54.54545454545454,1.1887351342641213,1.2267554520940331,0.2936771621211349,0.14683858106056746,6,4
