Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.04934061607359,16.7187449824997,12.717541001134647
2015,-12.23278147833109,-0.6765861272130635,-20.84468907359507,-0.8605802821021191,-12.847226016499224,-42.23107357796852,3.7930997061532246,-24.25249240486327,-18.859647058934247,-7.5675666967911726,1.7543842526623443,-8.045976145262134
2016,12.499995343387194,22.222228109100882,-9.545456072515657,-10.050253604283865,49.720677311235086,2.2388037792902438,8.02919809651479,-2.702700090373533,-2.430561419438204,-21.708181762183145,-17.72727711141593,-4.972371105774864
2017,1.744184354113676,-20.000001362391885,-27.142857264499277,-47.05882043574502,-57.40740832723213,65.21738623400952,-18.421050980480736,41.93548201026085,-2.272725117600638,-10.465119986227167,170.77923244078085,-1.6786611602076729
2018,-21.707314321641558,-30.529595246958564,-49.775784969109296,61.60713706013501,-23.204418252062453,-33.812947758457966,14.130427529208056,-6.666660611591368,-25.51020358513416,-19.178087896109595,5.084751242024477,-41.93548201026084
2019,-5.5555583150297405,85.29411429558662,-17.46031986312503,41.82693057159022,-7.457627967937475,5.8608089638398475,-27.681666494658806,-20.095692551814693,4.790421854561089,-22.857141494750977,-5.185188978951261,-31.24999883584676
2020,18.181814487315396,-17.30768789906457,-47.67442086118175,0.0,55.55555702727521,30.00000596046457,123.07691350390346,22.167490346102745,-20.967741005130424,10.204083866896262,190.74073890109128,66.24202598079061
2021,98.6590096237983,45.371263024390984,59.27031862464916,-23.406917058139175,-32.65361261592407,26.64513629187717,-11.922223711863289,46.90554247364555,-22.19758609266077,65.42115834285347,-2.2396668186265623,-35.65693987328961
2022,-28.362749609591397,7.689037364261431,10.256411606882132,-44.18604667032896,-34.42308146102413,-47.800582682914374,143.25841572912506,-8.775976980254462,-9.620255752104567,22.408959943808917,-51.79252221839346,-45.88607621200572
2023,110.8187098627211,-1.525660650934968,22.816906819100534,15.481644340079814,-2.7805336788153556,41.57303075263607,25.324684484138203,-27.633856721339235,-32.37867775366827,3.647063760196456,35.86832800116475,96.24059521386165
2024,-24.521074010243172,46.08009186255988,-12.818531829046476,-28.87511284231016,21.54421610759536,1.6905733399960265,-0.906802527539563,-15.099132190314023,0.0,0.0,0.0,0.0
