Year,Week_Number,Return,Volume,Week,Volatility,Positive_Returns,Kelly_Ratio
2021,15,-0.1644187306752818,357860.0,15,0.1340066409976365,0.14285714285714285,
2022,15,-0.0484054549701145,484325.0,15,0.1340066409976365,0.14285714285714285,
2023,15,-0.016128025287345582,88340.0,15,0.1340066409976365,0.14285714285714285,
2010,16,0.0,,16,0.1505151168768531,0.2857142857142857,
2011,16,0.0,,16,0.1505151168768531,0.2857142857142857,
2012,16,0.0,,16,0.1505151168768531,0.2857142857142857,
2013,16,0.0,,16,0.1505151168768531,0.2857142857142857,
2014,16,0.0,,16,0.1505151168768531,0.2857142857142857,
2015,16,0.0,,16,0.1505151168768531,0.2857142857142857,
2016,16,0.12349999476332552,5890.0,16,0.1505151168768531,0.2857142857142857,
2017,16,-0.2924269290381827,7614.0,16,0.1505151168768531,0.2857142857142857,
2018,16,-0.01598236354458593,35710.0,16,0.1505151168768531,0.2857142857142857,
2019,16,-0.10825147365571319,46400.0,16,0.1505151168768531,0.2857142857142857,
2020,16,0.3233934343129209,207600.0,16,0.1505151168768531,0.2857142857142857,
2021,16,0.048747724774193424,392380.0,16,0.1505151168768531,0.2857142857142857,
2022,16,-0.17133345252929888,355780.0,16,0.1505151168768531,0.2857142857142857,
2023,16,0.2157441783836863,105920.0,16,0.1505151168768531,0.2857142857142857,
2010,17,0.0,,17,0.16173201463101944,0.21428571428571427,
2011,17,0.0,,17,0.16173201463101944,0.21428571428571427,
2012,17,0.0,,17,0.16173201463101944,0.21428571428571427,
2013,17,0.0,,17,0.16173201463101944,0.21428571428571427,
2014,17,0.0,,17,0.16173201463101944,0.21428571428571427,
2015,17,0.0,,17,0.16173201463101944,0.21428571428571427,
2016,17,-0.1459927088141304,7474.0,17,0.16173201463101944,0.21428571428571427,
2017,17,0.5383728407885248,12902.0,17,0.16173201463101944,0.21428571428571427,
2018,17,-0.04474708658518811,4300.0,17,0.16173201463101944,0.21428571428571427,
2019,17,0.08557411389112135,29240.0,17,0.16173201463101944,0.21428571428571427,
2020,17,-0.12296975715007497,82640.0,17,0.16173201463101944,0.21428571428571427,
2021,17,0.036381251600503206,247280.0,17,0.16173201463101944,0.21428571428571427,
2022,17,-0.05471367573508712,238800.0,17,0.16173201463101944,0.21428571428571427,
2023,17,-0.06233386925630502,70160.0,17,0.16173201463101944,0.21428571428571427,
