Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.946050213111693,-11.757520956699686,-1.4368506393698688
2015,29.328761146132855,7.4943407479865165,-12.25916464754625,33.55252394425443,12.140161286360062,5.268724964177074,21.802596878932622,0.6298672347832657,-10.232110552003915,4.958352712827474,13.794062517532723,-7.256956494573807
2016,-19.706243623689012,1.709502816662245,9.442243174220044,-11.933878682406663,13.928691642291803,-10.81212476444049,-0.2514247360006938,6.794517203553085,1.1287902903679647,26.707254063707264,-6.3025567177681925,5.811968420305824
2017,13.65913024657981,1.0091664424640934,3.996336087136876,2.9700287275278514,7.14192548878505,-8.376772581453507,21.584900080006264,-3.825826713715863,3.8005833292211744,8.315404502196632,-4.5054172859100845,2.335006312004073
2018,40.8105742546019,7.798748813111156,1.3624823783978446,5.793121719308747,12.52640841029551,11.328209863722005,-13.790455887078956,8.958358090146824,1.754246174803109,-19.33819933158731,-5.185895009539654,-6.455108134593468
2019,26.840019186647158,5.478646864069403,-0.4300498516262796,3.920801851596045,-7.356833037455979,7.003032110932206,-12.06850054609615,-9.0529091050646,-8.895320811170215,7.39481686944059,9.481228785632734,2.8316289195995825
2020,6.650798444402395,6.937321480036673,1.7532453302184337,11.810920400403635,-0.028580472893435793,8.412550123737494,7.436707916321583,8.321058801644487,-5.5763273123796475,-4.85771025822852,3.144579450906826,10.195632161633327
2021,-1.5423531377126043,1.2133888239368673,-3.1901277201904055,-1.5699886636955207,-2.076065544774486,5.051614832122064,-2.0143530425078326,9.97352906596294,7.229576105967994,13.102527637772354,-7.0127874890617115,-6.147378169782137
2022,-29.09833129980749,-7.636846119793739,-5.05170668933852,-49.1817714110439,3.719269703905259,-11.431324475857817,28.60982454180876,-0.5958187524484293,5.314011903985105,23.972138063264083,4.676577246860303,-3.485744096826815
2023,20.001349529341294,-8.966817889065936,7.248628115847233,-4.500989294909519,19.792083096463585,11.451554282301846,-0.34506777619693896,-1.2050956854024686,-12.931190628890965,9.028070918130538,15.127887101936821,2.723801850087515
2024,15.862220607588618,6.879863602202807,0.7314460135159795,-9.334299449424377,16.522587906517707,5.183755185115491,-6.894563323883718,11.61772942410435,0.0,0.0,0.0,0.0
