,mean,std,count,positive_prob,kelly_size,highest_return_value,highest_return_year,lowest_return_value,lowest_return_year,mean_volume,highest_volume_value,highest_volume_year,lowest_volume_value,lowest_volume_year,Ticker
Aug,-4.45841542289506,18.397390430428093,14,0.5,2.5632207505779934,20.74201817223451,2014,-32.700042539154694,2010,393801607.14285713,1394445100.0,2022,0.0,2013,SOXL
Sep,-1.2465746910073594,20.454617534530147,14,0.35714285714285715,10.905565732516344,44.280157651036966,2010,-36.688032028828374,2022,375873721.4285714,2032678100.0,2022,0.0,2012,SOXL
Oct,6.452456215354941,21.458708396561956,14,0.5714285714285714,-0.85385646823231,42.89437478110712,2011,-34.9718679063193,2018,576757185.7142857,3103110500.0,2022,0.0,2010,SOXL
Nov,20.17787986290053,23.194989185932233,14,0.8571428571428571,0.6929249161986747,63.07289914077803,2020,-13.35163526476827,2011,499135178.5714286,2565422800.0,2022,0.0,2013,SOXL
Dec,4.0317736196715,17.94980131220429,14,0.5714285714285714,-1.3366081182830611,37.96825637143577,2023,-29.779324792572393,2022,153519628.57142857,397878000.0,2012,0.0,2011,SOXL
Jan,8.923710779751385,21.736984889682912,13,0.6153846153846154,-0.3214878371263473,55.515985734346906,2020,-20.33665563708866,2016,1686710369.2307692,6108277500.0,2020,0.0,2015,TSLA
Feb,3.218659179548187,12.974624648253497,13,0.46153846153846156,-1.7090350472852558,34.94846578608581,2014,-14.874045049393914,2021,1324720638.4615386,3624845100.0,2023,0.0,2015,TSLA
Mar,0.9591156667752574,15.650027027865404,13,0.5384615384615384,-6.992527316888768,23.80088093327557,2022,-22.42464566214676,2018,1705016884.6153846,6314025000.0,2020,0.0,2012,TSLA
Apr,6.091480482677432,21.622424807915515,13,0.5384615384615384,-1.0998233922635445,49.2137319488021,2020,-20.799193945263273,2023,1507727815.3846154,5722162500.0,2020,0.0,2011,TSLA
May,5.544112022067865,25.93613923187452,13,0.46153846153846156,-2.0574606815089522,81.07057457667727,2013,-22.426582233190807,2019,1608423223.0769231,4968313500.0,2013,0.0,2014,TSLA
Jun,10.19336641326436,12.434370906949198,13,0.7142857142857143,0.365757342210079,29.318563282708187,2020,-11.188774122303668,2022,1387869142.857143,3836590500.0,2020,0.0,2012,TSLA
Jul,3.4696243984721624,16.43330462280553,14,0.5,-1.868167665359092,32.50108843981532,2020,-16.32400507102093,2010,1651603178.5714285,5679502500.0,2020,0.0,2010,TSLA
Aug,6.791826480150172,22.39069154997407,14,0.5,-1.1483556827764387,74.14521252787117,2020,-12.176092558204665,2011,1420846357.142857,4672135200.0,2020,0.0,2013,TSLA
Sep,-1.3239807619401216,7.788341867058929,14,0.35714285714285715,4.13876215568566,14.42010496567747,2013,-13.908741409927107,2020,1220068807.142857,5208854400.0,2020,0.0,2012,TSLA
Oct,2.9651619201139785,20.072530231183983,14,0.35714285714285715,-3.994649652669406,43.6529595729082,2021,-19.73463537763216,2023,1572527657.142857,4295410500.0,2018,0.0,2010,TSLA
Nov,9.803377225509672,22.183514743084515,14,0.7142857142857143,0.0677588160898529,61.76738582783279,2010,-20.420161069822896,2013,1206295792.857143,2650798400.0,2023,0.0,2013,TSLA
Dec,-0.3628200285938189,17.79954428357481,14,0.5714285714285714,21.596662903439814,26.789715336284647,2019,-36.73343490707852,2022,1219123264.2857144,3589038000.0,2020,0.0,2011,TSLA
Jan,4.177415658303611,21.752658410761228,23,0.375,-2.879502931663418,57.558793951551145,2001,-27.719000985029563,2008,10229704083.333334,32736884000.0,2011,0.0,2004,NVDA
Feb,6.9527852025341685,18.163005284834764,24,0.6666666666666666,-0.20411172193337557,72.67983404005211,2000,-22.406437277574053,2002,10608961375.0,30995268000.0,2002,0.0,2004,NVDA
