Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4907599934887346,-3.308856512872893,-3.3546975642578802
2015,1.298381927237502,4.665609076603672,-1.4094528274991358,-1.0690450548998087,-0.6286786620117946,-0.9682363053212462,21.750243059062015,-1.4722520229481395,-1.4587321485250215,15.511373021476182,3.4527313855611474,1.9872807304748719
2016,-2.1413642444714664,-5.79628635495334,6.369041260945596,-7.211949915999371,5.7876996088237265,-6.051952886937317,12.4813464981141,-0.18828494489718794,1.799068046024055,0.726320672205949,-4.200520740988322,2.1356461870872367
2017,3.500527330688863,3.016370725838069,0.3396772907538148,9.049307877034597,6.767833415413804,-5.816080192188378,1.701659109004594,1.03014456098649,1.9345892415175259,6.092102108924058,0.30298549177285583,1.6628533779045052
2018,12.228973984750958,-6.623131278738681,-6.049355577738247,-1.7895311360668908,7.993482323438172,2.6536323710930176,8.681445433411405,0.37320023715723405,-2.0068159241616867,-9.651394373150623,1.748612539389982,-5.829761027375846
2019,7.7447888825791456,0.05862141110914987,4.4685096720866735,1.875286092353412,-7.71168670893293,-2.1418920565373645,12.504622181703628,-2.271387338815556,2.5711209083992825,3.0840080896322064,3.5978735747716373,2.7068580586356195
2020,6.972588104856392,-6.527873720973099,-13.238750488060303,15.89998772058574,6.44687863523985,-1.0791727617387448,4.929310270161258,9.515115115115114,-10.059964117526066,10.269508528556281,8.556973516702016,-0.10030950532697869
2021,4.263268291853839,10.64651338812379,2.008499955309917,14.107980810337505,0.14233865084067876,3.6039653503386226,10.350603127969737,7.400915762835969,-7.616925379412043,10.749876550574488,-4.1530994033774915,2.0821351973261404
2022,-6.591899421839253,-0.18218183522005216,2.9694889089395327,-17.946686322153727,-0.30453001704082716,-4.218459896283844,6.751838773274921,-6.963548120645225,-11.61522607676786,-1.1918469431227319,6.8564100417233265,-12.634904240622259
2023,12.025381548244308,-8.883044101356186,15.178776491390078,3.4801778106615,14.468055855705963,-2.5799691726310914,10.87719920680641,2.5994573874417393,-3.899534733027088,-5.181112767489937,6.810117964120144,5.402552397669358
2024,0.29350752261343427,-1.1705834042447405,9.006198673766486,7.851328880368436,5.971243053379505,5.715391427559324,-5.824870143219007,-4.756901435637372,0.0,0.0,0.0,0.0
