Month,Avg Returns (%),StDev (%),Pos %,Skewness,Kurtosis,Avg Kelly Ratio,Avg Kelly Fraction,Up Days,Down Days
Jan,1.9027341719335895,6.316315016551598,63.63636363636363,-0.24255328282199895,-0.9352861071988254,0.24712148446910714,0.12356074223455357,7,3
Feb,0.544118286765642,4.07280463548537,36.36363636363637,0.06818466892068802,-0.8775312525309782,0.06718450095424494,0.03359225047712247,4,6
Mar,1.47570751280585,4.840174321611474,63.63636363636363,-0.17152274093530545,-0.5603592055896569,0.24765566679539602,0.12382783339769801,7,3
Apr,0.9899583571021767,7.101943776644107,63.63636363636363,-0.11128156882324834,0.703063191524997,0.07620364821327819,0.03810182410663909,7,3
May,2.346572319961415,4.755406896173933,63.63636363636363,-0.925795145554983,0.12782037869141183,0.38261508629312074,0.19130754314656037,7,3
Jun,1.6427205749398042,5.34468726542871,54.54545454545454,-0.5144110530094647,-0.7949469041744948,0.22538569573639872,0.11269284786819936,6,4
Jul,4.167478774053309,3.8476604785696207,81.81818181818183,0.672035884451898,0.31741378399026976,0.7603962198767718,0.3801981099383859,9,1
Aug,0.8938605452461723,4.975474796855011,54.54545454545454,0.38819645063673275,-0.1530945688461962,0.12996582277015006,0.06498291138507503,6,4
Sep,-2.4299961888701094,3.8512434337909367,18.181818181818183,-0.8025831268498127,-0.34693861973447415,-2.0473920592150794,-1.0236960296075397,2,7
Oct,1.7908030549886005,5.556714332832205,54.54545454545454,-0.10812141139370152,-0.4109392354402721,0.24889707678669365,0.12444853839334682,6,4
Nov,3.7229886199852946,4.087432996211493,81.81818181818183,0.9138358170125458,-0.4819581255924197,0.807661806970961,0.4038309034854805,9,1
Dec,-0.3860234990706402,4.852872360628403,54.54545454545454,-0.7064164258416733,-0.49247027968572166,-0.30406883851789734,-0.15203441925894867,6,4
