Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.003869691227711,-1.038674263449224,1.4032994463308635
2015,-1.8325761410818542,1.58525126814979,-0.3029343725500899,1.031727741829358,1.017056429290375,-1.1570358869545494,3.2672063563859544,-6.777425826340044,2.0345887330465606,7.097003412982161,0.6820894409011125,0.23267623982601293
2016,-7.3393963249581144,2.200892824002687,1.963994340515085,-2.906258509144233,1.6954045015429298,0.7072939194151084,1.5064118225640355,0.5724833820971664,2.051609367845164,0.6427086645334423,1.4495990252726187,0.8297833416093914
2017,3.033995850833371,1.1775311486842854,1.3215971090666967,1.528092806079151,1.7746650761471194,0.46196675293528333,1.4333707625096004,1.3243129380972052,0.5179785496087552,1.9246653133840663,0.7055841004180552,1.5467422339212389
2018,2.3500216789331008,1.218921736088796,-3.4956079237333126,1.672288764669072,3.453607039955031,-1.354541839860579,2.782382555115559,3.457589503318226,0.722543750819038,-5.43582236623863,0.19135889730470534,-7.916148027556435
2019,4.6061932633927105,2.3835159741836254,2.2089791286669547,1.6688787401502037,-4.391406224134364,6.0681681114530095,2.4577460690526687,-1.2593761876190435,0.5117867578571245,3.138349497798343,1.9720332717095168,1.645558621302845
2020,0.4100795053116446,-8.095997630903307,-9.007717458166809,5.198755192616389,3.9749272459629115,2.6684701421578083,3.7964600577172547,3.6284606696898702,-1.6374542135696224,-3.0685915953038267,10.037422957539178,2.175311467234642
2021,1.1398584232769293,-0.8988023200497075,1.7744194995054308,1.0539406055493306,-0.6464130949694669,1.877632711955135,1.2761601502850661,3.2034830640373935,-3.3664094602401495,4.3515973037486555,-0.38607454753502024,0.7910756589083245
2022,-5.459859169090542,-2.14562289588619,5.285072134926327,-6.797392470877151,-5.871392121242602,-2.1232196194587494,6.504723031905035,-6.4503513831405845,-7.276843111224196,4.117277397142316,3.76569917399312,-3.0512457729729547
2023,7.180699950109104,-1.861028750090854,5.630731792958654,1.8346720077274448,3.009233274821521,1.6370980418564773,2.6029416908611935,-2.1272239840344986,-3.0395132296727856,0.045795259582392944,3.6252065400502076,2.674283870399985
2024,2.646984456224999,2.380155474605772,1.29171706580824,-1.8144256479025178,1.5129420321928544,1.8827082921925253,0.43444714676073026,2.8486275627828794,0.0,0.0,0.0,0.0
