Year,Week_Number,Return,Volume,Week,Volatility,Positive_Returns,Kelly_Ratio
2022,13,0.0048976000392666474,2234620.0,13,0.0066648119788180115,0.21428571428571427,
2023,13,0.024927188772016162,4453200.0,13,0.0066648119788180115,0.21428571428571427,
2010,14,0.0,,14,0.0036030982855401825,0.21428571428571427,
2011,14,0.0,,14,0.0036030982855401825,0.21428571428571427,
2012,14,0.0,,14,0.0036030982855401825,0.21428571428571427,
2013,14,0.0,,14,0.0036030982855401825,0.21428571428571427,
2014,14,0.0,,14,0.0036030982855401825,0.21428571428571427,
2015,14,0.0,,14,0.0036030982855401825,0.21428571428571427,
2016,14,0.0,,14,0.0036030982855401825,0.21428571428571427,
2017,14,0.0,,14,0.0036030982855401825,0.21428571428571427,
2018,14,0.0,,14,0.0036030982855401825,0.21428571428571427,
2019,14,0.0,,14,0.0036030982855401825,0.21428571428571427,
2020,14,0.0,,14,0.0036030982855401825,0.21428571428571427,
2021,14,0.004678187568256664,348200.0,14,0.0036030982855401825,0.21428571428571427,
2022,14,0.012911750706906866,2153480.0,14,0.0036030982855401825,0.21428571428571427,
2023,14,0.0034212503336594757,3576075.0,14,0.0036030982855401825,0.21428571428571427,
2010,15,0.0,,15,0.0043524692843207365,0.14285714285714285,
2011,15,0.0,,15,0.0043524692843207365,0.14285714285714285,
2012,15,0.0,,15,0.0043524692843207365,0.14285714285714285,
2013,15,0.0,,15,0.0043524692843207365,0.14285714285714285,
2014,15,0.0,,15,0.0043524692843207365,0.14285714285714285,
2015,15,0.0,,15,0.0043524692843207365,0.14285714285714285,
2016,15,0.0,,15,0.0043524692843207365,0.14285714285714285,
2017,15,0.0,,15,0.0043524692843207365,0.14285714285714285,
2018,15,0.0,,15,0.0043524692843207365,0.14285714285714285,
2019,15,0.0,,15,0.0043524692843207365,0.14285714285714285,
2020,15,0.0,,15,0.0043524692843207365,0.14285714285714285,
2021,15,0.011312563476077009,291480.0,15,0.0043524692843207365,0.14285714285714285,
2022,15,-0.007903397150452962,2642650.0,15,0.0043524692843207365,0.14285714285714285,
2023,15,0.008078368496682864,3751540.0,15,0.0043524692843207365,0.14285714285714285,
2010,16,0.0,,16,0.0052614976402817915,0.14285714285714285,
2011,16,0.0,,16,0.0052614976402817915,0.14285714285714285,
2012,16,0.0,,16,0.0052614976402817915,0.14285714285714285,
2013,16,0.0,,16,0.0052614976402817915,0.14285714285714285,
2014,16,0.0,,16,0.0052614976402817915,0.14285714285714285,
2015,16,0.0,,16,0.0052614976402817915,0.14285714285714285,
2016,16,0.0,,16,0.0052614976402817915,0.14285714285714285,
2017,16,0.0,,16,0.0052614976402817915,0.14285714285714285,
2018,16,0.0,,16,0.0052614976402817915,0.14285714285714285,
2019,16,0.0,,16,0.0052614976402817915,0.14285714285714285,
2020,16,0.0,,16,0.0052614976402817915,0.14285714285714285,
2021,16,0.005096811493969011,452900.0,16,0.0052614976402817915,0.14285714285714285,
2022,16,-0.017535574951413113,2365740.0,16,0.0052614976402817915,0.14285714285714285,
2023,16,0.005466455261941228,3863740.0,16,0.0052614976402817915,0.14285714285714285,
2010,17,0.0,,17,0.007553827423297992,0.14285714285714285,
2011,17,0.0,,17,0.007553827423297992,0.14285714285714285,
2012,17,0.0,,17,0.007553827423297992,0.14285714285714285,
2013,17,0.0,,17,0.007553827423297992,0.14285714285714285,
2014,17,0.0,,17,0.007553827423297992,0.14285714285714285,
2015,17,0.0,,17,0.007553827423297992,0.14285714285714285,
2016,17,0.0,,17,0.007553827423297992,0.14285714285714285,
2017,17,0.0,,17,0.007553827423297992,0.14285714285714285,
2018,17,0.0,,17,0.007553827423297992,0.14285714285714285,
2019,17,0.0,,17,0.007553827423297992,0.14285714285714285,
2020,17,0.0,,17,0.007553827423297992,0.14285714285714285,
2021,17,0.002573167529356324,322600.0,17,0.007553827423297992,0.14285714285714285,
2022,17,-0.026892458395837315,2793140.0,17,0.007553827423297992,0.14285714285714285,
2023,17,0.0059951874751408285,5359800.0,17,0.007553827423297992,0.14285714285714285,
2010,18,0.0,,18,0.005067144235808016,0.07142857142857142,
2011,18,0.0,,18,0.005067144235808016,0.07142857142857142,
2012,18,0.0,,18,0.005067144235808016,0.07142857142857142,
2013,18,0.0,,18,0.005067144235808016,0.07142857142857142,
2014,18,0.0,,18,0.005067144235808016,0.07142857142857142,
2015,18,0.0,,18,0.005067144235808016,0.07142857142857142,
2016,18,0.0,,18,0.005067144235808016,0.07142857142857142,
2017,18,0.0,,18,0.005067144235808016,0.07142857142857142,
2018,18,0.0,,18,0.005067144235808016,0.07142857142857142,
2019,18,0.0,,18,0.005067144235808016,0.07142857142857142,
2020,18,0.0,,18,0.005067144235808016,0.07142857142857142,
2021,18,0.017119494496196097,496300.0,18,0.005067144235808016,0.07142857142857142,
2022,18,-0.004926014404544765,2712140.0,18,0.005067144235808016,0.07142857142857142,
2023,18,-0.004541673935882673,4695800.0,18,0.005067144235808016,0.07142857142857142,
2010,19,0.0,,19,0.003243666991654728,0.07142857142857142,
2011,19,0.0,,19,0.003243666991654728,0.07142857142857142,
2012,19,0.0,,19,0.003243666991654728,0.07142857142857142,
2013,19,0.0,,19,0.003243666991654728,0.07142857142857142,
2014,19,0.0,,19,0.003243666991654728,0.07142857142857142,
2015,19,0.0,,19,0.003243666991654728,0.07142857142857142,
2016,19,0.0,,19,0.003243666991654728,0.07142857142857142,
2017,19,0.0,,19,0.003243666991654728,0.07142857142857142,
2018,19,0.0,,19,0.003243666991654728,0.07142857142857142,
2019,19,0.0,,19,0.003243666991654728,0.07142857142857142,
2020,19,0.0,,19,0.003243666991654728,0.07142857142857142,
2021,19,0.0007413646872933555,1003240.0,19,0.003243666991654728,0.07142857142857142,
2022,19,-0.012074420712635203,3507220.0,19,0.003243666991654728,0.07142857142857142,
2023,19,-0.0014555785536374266,3458940.0,19,0.003243666991654728,0.07142857142857142,
2010,20,0.0,,20,0.00618955248411738,0.07142857142857142,
2011,20,0.0,,20,0.00618955248411738,0.07142857142857142,
2012,20,0.0,,20,0.00618955248411738,0.07142857142857142,
2013,20,0.0,,20,0.00618955248411738,0.07142857142857142,
2014,20,0.0,,20,0.00618955248411738,0.07142857142857142,
2015,20,0.0,,20,0.00618955248411738,0.07142857142857142,
2016,20,0.0,,20,0.00618955248411738,0.07142857142857142,
2017,20,0.0,,20,0.00618955248411738,0.07142857142857142,
2018,20,0.0,,20,0.00618955248411738,0.07142857142857142,
2019,20,0.0,,20,0.00618955248411738,0.07142857142857142,
2020,20,0.0,,20,0.00618955248411738,0.07142857142857142,
2021,20,-0.003959171694241981,346500.0,20,0.00618955248411738,0.07142857142857142,
2022,20,-0.022280672869708584,2404920.0,20,0.00618955248411738,0.07142857142857142,
2023,20,0.004453782354852054,5895960.0,20,0.00618955248411738,0.07142857142857142,
2010,21,0.0,,21,0.013437668678244235,0.21428571428571427,
2011,21,0.0,,21,0.013437668678244235,0.21428571428571427,
2012,21,0.0,,21,0.013437668678244235,0.21428571428571427,
2013,21,0.0,,21,0.013437668678244235,0.21428571428571427,
2014,21,0.0,,21,0.013437668678244235,0.21428571428571427,
2015,21,0.0,,21,0.013437668678244235,0.21428571428571427,
2016,21,0.0,,21,0.013437668678244235,0.21428571428571427,
2017,21,0.0,,21,0.013437668678244235,0.21428571428571427,
2018,21,0.0,,21,0.013437668678244235,0.21428571428571427,
2019,21,0.0,,21,0.013437668678244235,0.21428571428571427,
2020,21,0.0031842779828479273,7850.0,21,0.013437668678244235,0.21428571428571427,
2021,21,0.0038631391372038193,376420.0,21,0.013437668678244235,0.21428571428571427,
2022,21,0.04755047892570885,2040400.0,21,0.013437668678244235,0.21428571428571427,
2023,21,-0.01349105985278587,4947080.0,21,0.013437668678244235,0.21428571428571427,
2010,22,0.0,,22,0.006829040992526287,0.21428571428571427,
2011,22,0.0,,22,0.006829040992526287,0.21428571428571427,
