Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.326260932655999,10.244746374465684,-2.577153772566576
2015,-8.955656684653391,1.3574024985120836,-5.954851833009878,4.093395993480553,6.63341656097014,-11.723721495904925,-4.832338392984237,-0.597276630526522,5.606138860987864,12.342408624701218,3.4109022456279448,-0.9203355473453634
2016,-9.956443109657231,-3.770350268170386,9.327467834268678,-6.398767958793917,5.2274169519893166,3.830342877818471,6.280479413941964,3.7351105467147816,5.182504555046452,-7.629136086267652,0.2659222562704455,4.524490944776671
2017,1.5163844746975519,-0.9819496096706959,-0.35912809322796724,0.2217638140134648,0.6324463179126383,-6.563264131762669,5.127470165692993,-0.3855212885834569,8.582844152231917,19.459013283336034,-0.8447186195513545,2.9437710423720898
2018,4.28946558873835,3.0834855011485196,5.660372520908075,-0.8832613740950235,7.552473672995785,-9.945662879297512,-3.238782591912559,1.298402874247917,-2.3539020470166983,-0.8669883163137881,5.8453712877245545,-4.82658129480753
2019,0.40484621624061745,13.106302304256356,1.3972878105334763,-4.953439065515197,-13.186303089172934,8.696618556008273,5.598498446291744,-5.578422501721658,8.690111541457224,9.70310342621914,3.254003351186685,3.1007665312518418
2020,6.817049183928892,-12.727321555322957,-2.521633897476372,10.827785561961289,5.510970505276269,-4.926108508374338,-20.223968026229024,7.471274054689969,1.6290307927905312,-14.48436047091951,9.98572458665421,3.0403162237472303
2021,11.42112933277386,10.158398002527846,5.297795577187436,-10.109390533773643,-0.10112646173521256,-1.7156940374459806,-4.310644206807746,1.286856368122069,-1.4428526304233191,-8.03303512226291,1.106424679198792,4.674793468607996
2022,-5.203886119048995,-1.5498425261927684,3.8993694222640762,-12.046009244974531,2.7096412063688735,-15.781183144265565,-2.9403992437114446,-11.202842552492843,-19.26691592971237,10.32207263256626,7.197074106267798,-12.105083439749087
2023,6.9239388435744065,-10.708524274758545,31.04691904142347,-4.928061123565186,1.6379508098839368,6.361336165843223,6.967686017916219,-1.407811891294275,1.1667502556232723,2.672290980565184,22.868456839960814,12.416102913298444
2024,-14.268646575293564,0.22326083577801636,2.6016233083673512,-31.016523950801467,1.6583726214154382,0.3889728738131204,-0.742653509057356,-27.84705857376388,0.0,0.0,0.0,0.0
