Year,Week_Number,Return,Volume,Week,Volatility,Positive_Returns,Kelly_Ratio
2022,4,-0.0037838764528136393,96608480.0,4,0.059609518868663204,0.35714285714285715,
2023,4,-0.13783964646035995,120215980.0,4,0.059609518868663204,0.35714285714285715,
2010,5,0.0,,5,0.09111072854865855,0.42857142857142855,
2011,5,-0.0881169195106335,194.6,5,0.09111072854865855,0.42857142857142855,
2012,5,-0.08112530255185935,309.8,5,0.09111072854865855,0.42857142857142855,
2013,5,-0.029852475717900506,1209.4,5,0.09111072854865855,0.42857142857142855,
2014,5,0.014120345150927971,4984.8,5,0.09111072854865855,0.42857142857142855,
2015,5,0.09042459847837314,12714.6,5,0.09111072854865855,0.42857142857142855,
2016,5,0.1751904640934392,31133.8,5,0.09111072854865855,0.42857142857142855,
2017,5,0.003519888622689926,24459.2,5,0.09111072854865855,0.42857142857142855,
2018,5,0.11020072516741863,109663.8,5,0.09111072854865855,0.42857142857142855,
2019,5,-0.040080944988697964,313020.0,5,0.09111072854865855,0.42857142857142855,
2020,5,0.04936013056304289,1089436.0,5,0.09111072854865855,0.42857142857142855,
2021,5,-0.15717952367453192,11567856.0,5,0.09111072854865855,0.42857142857142855,
2022,5,-0.056809614383899976,71457960.0,5,0.09111072854865855,0.42857142857142855,
2023,5,-0.101870805963725,168365600.0,5,0.09111072854865855,0.42857142857142855,
2010,6,-0.00831394379413053,8.0,6,0.07120966856752285,0.2857142857142857,
2011,6,-0.05447721638678993,134.0,6,0.07120966856752285,0.2857142857142857,
2012,6,-0.022168330696416993,252.8,6,0.07120966856752285,0.2857142857142857,
2013,6,-0.015773297962546673,1069.4,6,0.07120966856752285,0.2857142857142857,
2014,6,-0.0377585572542708,6251.4,6,0.07120966856752285,0.2857142857142857,
2015,6,-0.060367546620141876,10746.4,6,0.07120966856752285,0.2857142857142857,
2016,6,0.0032475909018169213,39700.0,6,0.07120966856752285,0.2857142857142857,
2017,6,-0.04024160497045637,22643.6,6,0.07120966856752285,0.2857142857142857,
2018,6,0.15422250227384693,272321.8,6,0.07120966856752285,0.2857142857142857,
2019,6,-0.0203810207644447,289055.4,6,0.07120966856752285,0.2857142857142857,
2020,6,-0.1371789485950009,1065310.4,6,0.07120966856752285,0.2857142857142857,
2021,6,-0.044480621615613614,12142124.0,6,0.07120966856752285,0.2857142857142857,
2022,6,0.08580104984432257,85631280.0,6,0.07120966856752285,0.2857142857142857,
2023,6,0.06580990776919915,156279120.0,6,0.07120966856752285,0.2857142857142857,
2010,7,-0.07216104954624647,7.0,7,0.06117778893119283,0.21428571428571427,
2011,7,-0.017572187261995942,86.6,7,0.06117778893119283,0.21428571428571427,
2012,7,-0.046214021014724826,395.4,7,0.06117778893119283,0.21428571428571427,
2013,7,0.010356262486761136,628.8,7,0.06117778893119283,0.21428571428571427,
2014,7,-0.08542116303079439,7764.2,7,0.06117778893119283,0.21428571428571427,
2015,7,-0.10951325553190583,11073.4,7,0.06117778893119283,0.21428571428571427,
2016,7,-0.1114795041062171,23619.5,7,0.06117778893119283,0.21428571428571427,
2017,7,-0.05623866016170953,28946.6,7,0.06117778893119283,0.21428571428571427,
2018,7,-0.16911085150933913,168210.8,7,0.06117778893119283,0.21428571428571427,
2019,7,-0.0569190014479779,240551.0,7,0.06117778893119283,0.21428571428571427,
2020,7,-0.06854730013764021,775752.0,7,0.06117778893119283,0.21428571428571427,
2021,7,0.04765649048963505,14466560.0,7,0.06117778893119283,0.21428571428571427,
2022,7,0.04647573128964033,93597040.0,7,0.06117778893119283,0.21428571428571427,
2023,7,-0.012359437103728,149149860.0,7,0.06117778893119283,0.21428571428571427,
2010,8,0.0027521752699081192,7.8,8,0.06069036442161419,0.42857142857142855,
2011,8,0.054100298012461745,212.75,8,0.06069036442161419,0.42857142857142855,
2012,8,-0.025633897162067987,278.25,8,0.06069036442161419,0.42857142857142855,
2013,8,0.02672476915530575,1007.0,8,0.06069036442161419,0.42857142857142855,
