Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.565897341518484,11.742097290634955,-15.303389354919227
2015,-32.08345930131708,16.921879119020076,-3.948274599751067,-3.3080265589301217,-2.521756430715716,14.284716180825697,8.202318631636807,-19.179341405669803,2.6097984008702113,33.087345741177955,20.10244020379246,14.111583942323126
2016,-14.353164499452431,18.69201772263378,-4.79052575029868,7.580223349397341,18.52881089554299,26.713348191662334,-7.226091336683538,-7.877467543494365,5.953895478755822,14.963386012549872,6.379569384552086,29.24160384029304
2017,0.6910591632090402,21.595868139061846,-9.168024129983776,25.76064019287243,69.62881891411045,8.503732193929924,15.901871383230915,63.57682892979797,-7.753559989298775,49.08578726350426,58.20913616777115,38.33256069209823
2018,-27.79873889308847,1.7297628240295682,-32.93328919130871,32.50893147910252,-18.89909063556592,-14.546906905498158,21.49344068404513,-9.547787385747553,-5.8545695389234265,-4.647911913696568,-36.41157587086258,-6.834696548081121
2019,-7.612356891843053,11.481101020191954,6.501500614248945,30.33373026312973,60.249301715742455,26.154910600902713,-6.7626591766352,-4.511011811652232,-13.880620170759904,10.9203182273802,-17.71770232076748,-4.96762414464359
2020,29.984019674608998,-8.031850219040493,-25.127763815543148,34.477896223547646,9.268347920493625,-3.4146858566219795,23.916341296986676,3.155866679660524,-7.673511599209437,27.785306210931694,42.41232777902142,47.7731740726012
2021,14.180671257315613,36.308750593940786,30.531110958991945,-1.9835020649767054,-35.35455959448175,-6.13941661432399,18.79338548528313,13.31010952575873,-7.157155076344934,40.02672858735883,-7.034580264960633,-18.768354629620298
2022,-16.894668246945244,12.239415003329391,5.430112933630005,-17.180562778839857,-15.703524015723236,-37.76883082049309,17.954101668545608,-14.085561097213029,-3.0822039575552185,5.475483351418764,-16.233625149087516,-3.617484988577191
2023,39.835556219679205,0.034877106732977836,23.031275933019145,2.7751556410733347,-7.0011342199917,11.967798146804087,-4.092037651288716,-11.285070504336648,3.9968549920561314,28.55194754356902,8.783270039094294,12.071360157473276
2024,0.7510151676246579,43.716858418659974,16.561329171152273,-14.995437921729394,11.304277803921714,-7.131456883230869,3.0966973402063003,-8.742521094720225,-2.7885585694078285,0.0,0.0,0.0
