Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7887561049813714,22.171923356543587,-0.1298050137992668
2015,-14.864257478966325,30.885121466811572,-9.445514820112555,-4.109028478808929,26.97587308555873,-24.12461198067587,-15.308743021204751,-17.28676434934654,-6.406172776070007,30.82527610042567,6.641914762540924,-6.8545356493865945
2016,-23.384411510196244,3.169226959050264,27.6464930185095,-14.105877029089097,26.8534037175872,-5.300721270966635,34.73270241055933,14.593889006533512,11.805697807460103,-4.863872951534787,21.71730920569752,7.387442442405789
2017,12.27669163476146,8.079833707933304,13.032202182144449,-2.400396548707695,26.713764416334087,-15.85793452401878,14.31900290349204,7.384368790452256,15.202393978068795,28.370606999964544,-1.527424416227663,-5.2753910098663255
2018,26.11314191526011,-2.869315060155353,-9.531154583443847,-20.22639030349549,35.51799094387624,-14.178990634131704,11.109529913904325,6.856648018858169,-7.714068589206202,-34.97185406100647,6.315893435092335,-21.76905956069799
2019,27.73640292055186,19.082963328036495,8.714410094171775,36.723832115137235,-43.632008881393034,40.0971921999532,16.191256871101235,-10.069639556758315,10.04863125644395,16.478681611283786,11.686089968583978,24.234918463550038
2020,-11.356553212106979,-15.849095764096354,-53.73306961397078,38.2837186019922,17.632256294807135,22.18884252691471,20.349623539107565,17.91972324980524,-5.207788720587092,-1.674615728748019,63.07289174828663,14.918256948419927
2021,7.402264073909559,15.897866637131264,-1.250635341444395,-3.428410238155788,5.094836333181285,14.853020209595847,-0.33678331514451765,4.865952218172942,-13.984960459079797,19.006019600628377,35.71875456203375,5.190298519801861
2022,-34.45081891313816,-8.008103648429387,-5.420719996041545,-42.65084344121127,11.780580796520601,-47.23717462052611,51.3740475997521,-29.19818573118015,-36.688029493017225,0.6772194841568435,54.932699977488575,-29.779312878927065
2023,50.15510746289959,0.8952993960622102,25.10299009092496,-22.240440537910278,48.62965158409751,17.58078721521059,14.41804620634619,-16.015489633002954,-20.78248905739255,-21.03868892355053,53.08724002595877,37.96825637143577
2024,2.2292871701999672,33.457962228117985,8.70288055134083,-17.945410214289392,27.265584350978813,14.25277887210088,-19.815753431642634,-12.615450667086492,0.0,0.0,0.0,0.0
