Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.577274683190115,14.295022215337227,-7.509506396098587
2015,-6.947168706487017,22.739302990520894,-7.457051267220827,5.1558086519090995,6.352763968374897,-7.64892579176445,13.349648639108747,-21.282261613083598,-8.133996983806657,37.22903223075424,1.3121533054655021,-5.766404127360303
2016,-21.13277669587712,-6.038429557991587,20.96871184903555,-9.560542921501758,12.838789022394925,-7.827769097787329,22.518705535268914,2.9912777625931364,5.800577220208547,-4.61157718583125,1.1006083561078128,2.596574631234616
2017,15.758847855584456,13.38945858111964,5.640716891789488,8.0716743073586,11.433936146231671,-8.067396949639738,12.563990558240757,5.039586088447945,-1.056546556639737,13.741791718414763,5.502105878983743,1.1816350111856666
2018,27.703274811011937,-6.164273098814821,-13.42115793536256,-0.42385281378887196,16.998134737503847,2.1828558515926577,7.564339091281402,17.69493059176048,-1.6044317055525559,-26.60949785136868,-2.911321686749624,-26.829664768018336
2019,26.916831977218926,8.57266944294044,11.050347822007755,16.643127886639284,-24.012700037000446,22.998802241502702,6.200417005210346,-7.789632695136084,1.8846031273176855,12.429011363729847,12.195135785553735,11.372896286074363
2020,8.19179654653932,-17.770185417062102,-38.12986975084305,46.45254861904118,18.632646754483527,17.97753395647348,22.25294868349268,35.165022135402005,-18.877046225861715,-10.27501090388887,34.54236371932087,15.048710967602963
2021,-0.47303326584853256,-1.3816801530822764,2.2864844623259994,17.970634253425153,-4.70928772866076,19.407371596617608,8.359197945164887,12.618644192206085,-16.670020134473006,24.55647762460469,5.368638640152312,1.7371235667553053
2022,-25.653821170857295,-15.154464240043941,10.903549275927581,-37.21209734414911,-9.52641271933523,-27.3827579808236,39.00002054414819,-16.63670044388167,-30.52859427621438,8.436873421479675,12.45822292483596,-26.189346619972888
2023,32.42773047693797,-3.4046136908067792,28.444403744648138,-0.03538628561772228,23.00885637422081,18.35876058928525,10.512192916711506,-6.3341402205567725,-15.774106890311568,-7.973059064878251,33.83161322245305,16.076079609634817
2024,3.8264351263623153,14.66565254678982,2.356072078184357,-14.327484361569741,18.562752776287116,18.50683907050663,-7.504742533771336,0.48330673250502887,0.0,0.0,0.0,0.0
