Year,Week_Number,Return,Volume,Week,Volatility,Positive_Returns,Kelly_Ratio
2021,3,0.08566746589939356,118625.0,3,0.05093322808900414,0.07142857142857142,-0.35714285714285715
2022,3,-0.1615246542028438,1130600.0,3,0.05093322808900414,0.07142857142857142,-0.5
2023,3,-0.03402737860767924,3071875.0,3,0.05093322808900414,0.07142857142857142,-0.35714285714285715
2010,4,0.0,,4,0.03217680550581855,0.07142857142857142,-0.35714285714285715
2011,4,0.0,,4,0.03217680550581855,0.07142857142857142,-0.35714285714285715
2012,4,0.0,,4,0.03217680550581855,0.07142857142857142,-0.2857142857142857
2013,4,0.0,,4,0.03217680550581855,0.07142857142857142,-0.35714285714285715
2014,4,0.0,,4,0.03217680550581855,0.07142857142857142,-0.5
2015,4,0.0,,4,0.03217680550581855,0.07142857142857142,-0.35714285714285715
2016,4,0.0,,4,0.03217680550581855,0.07142857142857142,-0.5
2017,4,0.0,,4,0.03217680550581855,0.07142857142857142,-0.4285714285714286
2018,4,0.0,,4,0.03217680550581855,0.07142857142857142,-0.4285714285714286
2019,4,0.0,,4,0.03217680550581855,0.07142857142857142,-0.35714285714285715
2020,4,0.0,,4,0.03217680550581855,0.07142857142857142,-0.5
2021,4,-0.09201010371539109,154060.0,4,0.03217680550581855,0.07142857142857142,
2022,4,-0.07603436436819655,1719660.0,4,0.03217680550581855,0.07142857142857142,
2023,4,0.02568908025544636,3808000.0,4,0.03217680550581855,0.07142857142857142,
2010,5,0.0,,5,0.05272305085240293,0.21428571428571427,
2011,5,0.0,,5,0.05272305085240293,0.21428571428571427,
2012,5,0.0,,5,0.05272305085240293,0.21428571428571427,
2013,5,0.0,,5,0.05272305085240293,0.21428571428571427,
2014,5,0.0,,5,0.05272305085240293,0.21428571428571427,
2015,5,0.0,,5,0.05272305085240293,0.21428571428571427,
2016,5,0.0,,5,0.05272305085240293,0.21428571428571427,
2017,5,0.0,,5,0.05272305085240293,0.21428571428571427,
2018,5,0.0,,5,0.05272305085240293,0.21428571428571427,
2019,5,0.0,,5,0.05272305085240293,0.21428571428571427,
2020,5,0.0,,5,0.05272305085240293,0.21428571428571427,
2021,5,0.16789663934088606,72880.0,5,0.05272305085240293,0.21428571428571427,
2022,5,0.044991488326271645,901920.0,5,0.05272305085240293,0.21428571428571427,
2023,5,0.11703822190165403,3848820.0,5,0.05272305085240293,0.21428571428571427,
2010,6,0.0,,6,0.024963961353558092,0.0,
2011,6,0.0,,6,0.024963961353558092,0.0,
2012,6,0.0,,6,0.024963961353558092,0.0,
2013,6,0.0,,6,0.024963961353558092,0.0,
2014,6,0.0,,6,0.024963961353558092,0.0,
2015,6,0.0,,6,0.024963961353558092,0.0,
2016,6,0.0,,6,0.024963961353558092,0.0,
2017,6,0.0,,6,0.024963961353558092,0.0,
2018,6,0.0,,6,0.024963961353558092,0.0,
2019,6,0.0,,6,0.024963961353558092,0.0,
2020,6,0.0,,6,0.024963961353558092,0.0,
2021,6,-0.013078437547376809,99140.0,6,0.024963961353558092,0.0,
2022,6,-0.020798158803798317,916260.0,6,0.024963961353558092,0.0,
2023,6,-0.09299294951289416,2720780.0,6,0.024963961353558092,0.0,
2010,7,0.0,,7,0.017040192844253385,0.14285714285714285,
2011,7,0.0,,7,0.017040192844253385,0.14285714285714285,
2012,7,0.0,,7,0.017040192844253385,0.14285714285714285,
2013,7,0.0,,7,0.017040192844253385,0.14285714285714285,
2014,7,0.0,,7,0.017040192844253385,0.14285714285714285,
2015,7,0.0,,7,0.017040192844253385,0.14285714285714285,
2016,7,0.0,,7,0.017040192844253385,0.14285714285714285,
2017,7,0.0,,7,0.017040192844253385,0.14285714285714285,
2018,7,0.0,,7,0.017040192844253385,0.14285714285714285,
2019,7,0.0,,7,0.017040192844253385,0.14285714285714285,
2020,7,0.0,,7,0.017040192844253385,0.14285714285714285,
2021,7,0.0010752807332579106,64925.0,7,0.017040192844253385,0.14285714285714285,
2022,7,-0.031035876683438324,725920.0,7,0.017040192844253385,0.14285714285714285,
2023,7,0.05338151126334334,2337920.0,7,0.017040192844253385,0.14285714285714285,
2010,8,0.0,,8,0.027737124886348354,0.21428571428571427,
2011,8,0.0,,8,0.027737124886348354,0.21428571428571427,
2012,8,0.0,,8,0.027737124886348354,0.21428571428571427,
2013,8,0.0,,8,0.027737124886348354,0.21428571428571427,
2014,8,0.0,,8,0.027737124886348354,0.21428571428571427,
2015,8,0.0,,8,0.027737124886348354,0.21428571428571427,
2016,8,0.0,,8,0.027737124886348354,0.21428571428571427,
2017,8,0.0,,8,0.027737124886348354,0.21428571428571427,
2018,8,0.0,,8,0.027737124886348354,0.21428571428571427,
2019,8,0.0,,8,0.027737124886348354,0.21428571428571427,
2020,8,0.0,,8,0.027737124886348354,0.21428571428571427,
2021,8,0.03369835668413068,4747520.0,8,0.027737124886348354,0.21428571428571427,
2022,8,0.09901877544758675,1117600.0,8,0.027737124886348354,0.21428571428571427,
2023,8,0.03137854829001896,5834425.0,8,0.027737124886348354,0.21428571428571427,
2010,9,0.0,,9,0.051181205475868324,0.07142857142857142,
2011,9,0.0,,9,0.051181205475868324,0.07142857142857142,
2012,9,0.0,,9,0.051181205475868324,0.07142857142857142,
2013,9,0.0,,9,0.051181205475868324,0.07142857142857142,
2014,9,0.0,,9,0.051181205475868324,0.07142857142857142,
2015,9,0.0,,9,0.051181205475868324,0.07142857142857142,
2016,9,0.0,,9,0.051181205475868324,0.07142857142857142,
2017,9,0.0,,9,0.051181205475868324,0.07142857142857142,
2018,9,0.0,,9,0.051181205475868324,0.07142857142857142,
2019,9,0.0,,9,0.051181205475868324,0.07142857142857142,
2020,9,0.0,,9,0.051181205475868324,0.07142857142857142,
2021,9,-0.022980845633130298,640220.0,9,0.051181205475868324,0.07142857142857142,
2022,9,-0.1534866156949508,1580460.0,9,0.051181205475868324,0.07142857142857142,
2023,9,0.10181136637561683,3523800.0,9,0.051181205475868324,0.07142857142857142,
2010,10,0.0,,10,0.02214075770106745,0.14285714285714285,
2011,10,0.0,,10,0.02214075770106745,0.14285714285714285,
2012,10,0.0,,10,0.02214075770106745,0.14285714285714285,
2013,10,0.0,,10,0.02214075770106745,0.14285714285714285,
2014,10,0.0,,10,0.02214075770106745,0.14285714285714285,
2015,10,0.0,,10,0.02214075770106745,0.14285714285714285,
2016,10,0.0,,10,0.02214075770106745,0.14285714285714285,
2017,10,0.0,,10,0.02214075770106745,0.14285714285714285,
2018,10,0.0,,10,0.02214075770106745,0.14285714285714285,
2019,10,0.0,,10,0.02214075770106745,0.14285714285714285,
2020,10,0.0,,10,0.02214075770106745,0.14285714285714285,
2021,10,0.06802243961473431,493380.0,10,0.02214075770106745,0.14285714285714285,
2022,10,0.047009558940273366,1135980.0,10,0.02214075770106745,0.14285714285714285,
2023,10,-0.015570348443924797,3921700.0,10,0.02214075770106745,0.14285714285714285,
2010,11,0.0,,11,0.057983429295580945,0.14285714285714285,
2011,11,0.0,,11,0.057983429295580945,0.14285714285714285,
2012,11,0.0,,11,0.057983429295580945,0.14285714285714285,
2013,11,0.0,,11,0.057983429295580945,0.14285714285714285,
2014,11,0.0,,11,0.057983429295580945,0.14285714285714285,
2015,11,0.0,,11,0.057983429295580945,0.14285714285714285,
2016,11,0.0,,11,0.057983429295580945,0.14285714285714285,
2017,11,0.0,,11,0.057983429295580945,0.14285714285714285,
2018,11,0.0,,11,0.057983429295580945,0.14285714285714285,
2019,11,0.0,,11,0.057983429295580945,0.14285714285714285,
2020,11,0.0,,11,0.057983429295580945,0.14285714285714285,
2021,11,-0.06044517277195094,240100.0,11,0.057983429295580945,0.14285714285714285,
2022,11,0.11588781359807143,997380.0,11,0.057983429295580945,0.14285714285714285,
2023,11,0.1743412920392543,6110020.0,11,0.057983429295580945,0.14285714285714285,
2010,12,0.0,,12,0.024442837544507934,0.07142857142857142,
2011,12,0.0,,12,0.024442837544507934,0.07142857142857142,
2012,12,0.0,,12,0.024442837544507934,0.07142857142857142,
2013,12,0.0,,12,0.024442837544507934,0.07142857142857142,
2014,12,0.0,,12,0.024442837544507934,0.07142857142857142,
2015,12,0.0,,12,0.024442837544507934,0.07142857142857142,
2016,12,0.0,,12,0.024442837544507934,0.07142857142857142,
2017,12,0.0,,12,0.024442837544507934,0.07142857142857142,
2018,12,0.0,,12,0.024442837544507934,0.07142857142857142,
2019,12,0.0,,12,0.024442837544507934,0.07142857142857142,
2020,12,0.0,,12,0.024442837544507934,0.07142857142857142,
2021,12,-0.03360445620819996,241720.0,12,0.024442837544507934,0.07142857142857142,
