Year,Week_Number,Return,Volume,Week,Volatility,Positive_Returns,Kelly_Ratio
2014,17,0.0011732437484810454,92146080.0,17,0.06840925446711876,0.5714285714285714,
2015,17,0.12487658395058232,66491520.0,17,0.06840925446711876,0.5714285714285714,
2016,17,-0.08990986714745175,74130240.0,17,0.06840925446711876,0.5714285714285714,
2017,17,0.07732903239273792,33802320.0,17,0.06840925446711876,0.5714285714285714,
2018,17,-0.003337332366046164,85402080.0,17,0.06840925446711876,0.5714285714285714,
2019,17,0.05145996581013346,50599360.0,17,0.06840925446711876,0.5714285714285714,
2020,17,-0.012741420335527942,192352320.0,17,0.06840925446711876,0.5714285714285714,
2021,17,-0.012357699060457805,60480440.0,17,0.06840925446711876,0.5714285714285714,
2022,17,-0.10557750413187061,164665580.0,17,0.06840925446711876,0.5714285714285714,
2023,17,0.05519899809105422,125829480.0,17,0.06840925446711876,0.5714285714285714,
2010,18,-0.23473802256214804,79441920.0,18,0.08095007605163806,0.42857142857142855,
2011,18,-0.0325940456459064,36061440.0,18,0.08095007605163806,0.42857142857142855,
2012,18,-0.1129419291286553,56075520.0,18,0.08095007605163806,0.42857142857142855,
2013,18,0.10690894189834588,62119680.0,18,0.08095007605163806,0.42857142857142855,
2014,18,0.045743729638331176,120544800.0,18,0.08095007605163806,0.42857142857142855,
2015,18,-0.03853179497892645,102504960.0,18,0.08095007605163806,0.42857142857142855,
2016,18,-0.006037064408694226,71995200.0,18,0.08095007605163806,0.42857142857142855,
2017,18,0.0331493054207731,32574720.0,18,0.08095007605163806,0.42857142857142855,
2018,18,0.0501012145119718,80376000.0,18,0.08095007605163806,0.42857142857142855,
2019,18,0.005800226731111802,58748720.0,18,0.08095007605163806,0.42857142857142855,
2020,18,-0.013654650737041751,176388320.0,18,0.08095007605163806,0.42857142857142855,
2021,18,-0.03433872239668889,81025520.0,18,0.08095007605163806,0.42857142857142855,
2022,18,-0.03533412650441681,195862500.0,18,0.08095007605163806,0.42857142857142855,
2023,18,0.0010140588169862408,120545800.0,18,0.08095007605163806,0.42857142857142855,
2010,19,0.09563530029116696,70460160.0,19,0.07135898657322924,0.42857142857142855,
2011,19,-0.002843574661119952,29627520.0,19,0.07135898657322924,0.42857142857142855,
2012,19,-0.026355284760961495,125936640.0,19,0.07135898657322924,0.42857142857142855,
2013,19,0.039564924314977934,52453440.0,19,0.07135898657322924,0.42857142857142855,
2014,19,-0.02516795026458951,91503360.0,19,0.07135898657322924,0.42857142857142855,
2015,19,-0.011382090564637681,97306080.0,19,0.07135898657322924,0.42857142857142855,
