Year,Week_Number,Return,Volume,Week,Volatility,Positive_Returns,Kelly_Ratio
2010,1,0.002848349267547179,77554420.0,1,0.035188682920956504,0.7142857142857143,0.2142857142857143
2011,1,0.025723463751227693,59406900.0,1,0.035188682920956504,0.7142857142857143,0.2142857142857143
2012,1,0.056246822409167896,42809460.0,1,0.035188682920956504,0.7142857142857143,0.1428571428571429
2013,1,0.028320457353382844,39181820.0,1,0.035188682920956504,0.7142857142857143,0.0714285714285714
2014,1,-0.03217583472105334,24989220.0,1,0.035188682920956504,0.7142857142857143,0.0714285714285714
2015,1,-0.00300254210667672,31314600.0,1,0.035188682920956504,0.7142857142857143,0.2142857142857143
2016,1,-0.07195276561398678,52444840.0,1,0.035188682920956504,0.7142857142857143,0.2857142857142857
2017,1,0.028811728182879026,21693825.0,1,0.035188682920956504,0.7142857142857143,0.0714285714285714
2018,1,0.047469750140406,33348120.0,1,0.035188682920956504,0.7142857142857143,0.1428571428571429
2019,1,0.009464425741266713,49618520.0,1,0.035188682920956504,0.7142857142857143,0.1428571428571429
2020,1,0.00753710488448911,29244150.0,1,0.035188682920956504,0.7142857142857143,0.0
2021,1,0.017321803640855005,38357900.0,1,0.035188682920956504,0.7142857142857143,0.2142857142857143
2022,1,-0.04560019266328519,63561900.0,1,0.035188682920956504,0.7142857142857143,0.3571428571428571
2023,1,0.00995118828717878,47536650.0,1,0.035188682920956504,0.7142857142857143,-0.2142857142857143
2010,2,-0.014918776087716523,99613320.0,2,0.019822327886088068,0.7142857142857143,0.1428571428571429
2011,2,0.020084767461737707,51085360.0,2,0.019822327886088068,0.7142857142857143,0.0
2012,2,0.006428041101421811,34891640.0,2,0.019822327886088068,0.7142857142857143,0.0714285714285714
2013,2,0.009438317664229867,27957600.0,2,0.019822327886088068,0.7142857142857143,-0.07142857142857145
2014,2,0.007651464459076718,29362940.0,2,0.019822327886088068,0.7142857142857143,-0.07142857142857145
2015,2,-0.0026294067057397452,44385380.0,2,0.019822327886088068,0.7142857142857143,-0.07142857142857145
2016,2,-0.02955616928597493,67303720.0,2,0.019822327886088068,0.7142857142857143,0.2857142857142857
2017,2,0.010055655321882906,18465020.0,2,0.019822327886088068,0.7142857142857143,-0.07142857142857145
2018,2,0.015808024071349625,28036340.0,2,0.019822327886088068,0.7142857142857143,0.0714285714285714
2019,2,0.028302585508001354,43411940.0,2,0.019822327886088068,0.7142857142857143,-0.07142857142857145
2020,2,0.01973657218660585,23127480.0,2,0.019822327886088068,0.7142857142857143,0.1428571428571429
2021,2,-0.022555387952157724,28706080.0,2,0.019822327886088068,0.7142857142857143,0.0
2022,2,0.0008521040754416731,74551560.0,2,0.019822327886088068,0.7142857142857143,0.2857142857142857
2023,2,0.0445230093677631,46059280.0,2,0.019822327886088068,0.7142857142857143,0.0
2010,3,-0.03684234542137854,151526625.0,3,0.031633769432361604,0.6428571428571429,0.1428571428571429
2011,3,-0.02330632622158646,71400975.0,3,0.031633769432361604,0.6428571428571429,0.0
2012,3,0.02711151798412692,44824925.0,3,0.031633769432361604,0.6428571428571429,0.1428571428571429
2013,3,-0.0027843951032044956,33256460.0,3,0.031633769432361604,0.6428571428571429,0.0714285714285714
2014,3,0.006961053053872068,38876540.0,3,0.031633769432361604,0.6428571428571429,-0.07142857142857145
2015,3,-0.01747267016034293,45602780.0,3,0.031633769432361604,0.6428571428571429,0.0714285714285714
2016,3,0.029060488351768443,61782175.0,3,0.031633769432361604,0.6428571428571429,0.2857142857142857
2017,3,0.000739410257220352,15459975.0,3,0.031633769432361604,0.6428571428571429,-0.07142857142857145
2018,3,0.011250588210081514,35112875.0,3,0.031633769432361604,0.6428571428571429,0.1428571428571429
2019,3,0.028289369443103896,40381760.0,3,0.031633769432361604,0.6428571428571429,0.0
2020,3,0.022540671236822463,23209460.0,3,0.031633769432361604,0.6428571428571429,-0.07142857142857145
2021,3,0.042969998263586384,25501275.0,3,0.031633769432361604,0.6428571428571429,0.2857142857142857
2022,3,-0.07659492703378246,97310500.0,3,0.031633769432361604,0.6428571428571429,0.0714285714285714
2023,3,0.0065711442041277435,47197050.0,3,0.031633769432361604,0.6428571428571429,0.1428571428571429
2010,4,-0.030987144187945903,178041460.0,4,0.022590899799700262,0.5714285714285714,0.1428571428571429
2011,4,0.0013533256522034742,71394420.0,4,0.022590899799700262,0.5714285714285714,0.0714285714285714
2012,4,0.010575712331058584,44875060.0,4,0.022590899799700262,0.5714285714285714,0.2142857142857143
2013,4,-0.0009154437517658875,36483800.0,4,0.022590899799700262,0.5714285714285714,0.0
2014,4,-0.012823328977867199,38694025.0,4,0.022590899799700262,0.5714285714285714,0.1428571428571429
2015,4,0.03376686143412466,36690775.0,4,0.022590899799700262,0.5714285714285714,0.2142857142857143
2016,4,0.004244236593427098,46287340.0,4,0.022590899799700262,0.5714285714285714,0.1428571428571429
2017,4,0.02055438164577028,16243300.0,4,0.022590899799700262,0.5714285714285714,-0.14285714285714285
2018,4,0.02744882433656093,35864340.0,4,0.022590899799700262,0.5714285714285714,0.2857142857142857
2019,4,-0.00030928309770372753,40937875.0,4,0.022590899799700262,0.5714285714285714,0.0714285714285714
2020,4,-0.003004539676087936,26453825.0,4,0.022590899799700262,0.5714285714285714,0.0
2021,4,-0.03326898492827557,43587600.0,4,0.022590899799700262,0.5714285714285714,
2022,4,0.0011302981868120954,134613460.0,4,0.022590899799700262,0.5714285714285714,
2023,4,0.04740673521074923,51317040.0,4,0.022590899799700262,0.5714285714285714,
2010,5,0.005008241722161633,141281500.0,5,0.030535486593898174,0.5714285714285714,
2011,5,0.029380568278805086,57834980.0,5,0.030535486593898174,0.5714285714285714,
