Year,Week_Number,Return,Volume,Week,Volatility,Positive_Returns,Kelly_Ratio
2016,21,0.03776766592611902,374976000.0,21,0.0746025481000561,0.7857142857142857,
2017,21,0.04275530227948421,744244000.0,21,0.0746025481000561,0.7857142857142857,
2018,21,0.014380572541696779,466265600.0,21,0.0746025481000561,0.7857142857142857,
2019,21,-0.07396254880243858,441841600.0,21,0.0746025481000561,0.7857142857142857,
2020,21,0.062450194547884474,775829600.0,21,0.0746025481000561,0.7857142857142857,
2021,21,0.08234289710833798,517335200.0,21,0.0746025481000561,0.7857142857142857,
2022,21,0.12439844609275374,748905000.0,21,0.0746025481000561,0.7857142857142857,
2023,21,0.24577522406583707,741596000.0,21,0.0746025481000561,0.7857142857142857,
2010,22,-0.08030583762067178,608599000.0,22,0.04604805070615242,0.5,
2011,22,-0.05289113932763245,779954000.0,22,0.04604805070615242,0.5,
2012,22,-0.03332596617521755,372242000.0,22,0.04604805070615242,0.5,
2013,22,-0.004660388157554762,369091000.0,22,0.04604805070615242,0.5,
2014,22,0.02740665206274584,211342000.0,22,0.04604805070615242,0.5,
2015,22,0.06059809405888539,338722000.0,22,0.04604805070615242,0.5,
2016,22,0.012840403771394393,397485000.0,22,0.04604805070615242,0.5,
2017,22,0.01285444604339081,716941000.0,22,0.04604805070615242,0.5,
2018,22,0.03330103562411779,414879000.0,22,0.04604805070615242,0.5,
2019,22,-0.06727086063214693,443044000.0,22,0.04604805070615242,0.5,
2020,22,-0.014970218095974097,856706000.0,22,0.04604805070615242,0.5,
2021,22,0.08009018719350425,566025000.0,22,0.04604805070615242,0.5,
2022,22,-0.0013167686619164343,614012250.0,22,0.04604805070615242,0.5,
2023,22,0.01317753655509657,761146250.0,22,0.04604805070615242,0.5,
2010,23,-0.038325395139692686,659181600.0,23,0.043453312858306586,0.5714285714285714,
2011,23,-0.07458788308859876,534882400.0,23,0.043453312858306586,0.5714285714285714,
2012,23,0.013617846749281015,412827200.0,23,0.043453312858306586,0.5714285714285714,
2013,23,-0.0010303502181823188,377658400.0,23,0.043453312858306586,0.5714285714285714,
2014,23,0.0016082009114871676,187139200.0,23,0.043453312858306586,0.5714285714285714,
2015,23,0.0063658558679277055,296956800.0,23,0.043453312858306586,0.5714285714285714,
2016,23,-0.0053747052635189085,324544000.0,23,0.043453312858306586,0.5714285714285714,
2017,23,0.04588719116278095,1408677600.0,23,0.043453312858306586,0.5714285714285714,
2018,23,0.018353172528583817,426999200.0,23,0.043453312858306586,0.5714285714285714,
2019,23,0.07414704607844536,477818400.0,23,0.043453312858306586,0.5714285714285714,
2020,23,0.0056619563362283465,410532800.0,23,0.043453312858306586,0.5714285714285714,
2021,23,0.014509879529792769,397068000.0,23,0.043453312858306586,0.5714285714285714,
2022,23,-0.09518549516747776,407078800.0,23,0.043453312858306586,0.5714285714285714,
2023,23,-0.013196405953087909,428462000.0,23,0.043453312858306586,0.5714285714285714,
2010,24,0.059957965226166476,612418400.0,24,0.047134859058623635,0.6428571428571429,
2011,24,-0.07841763031174365,907608800.0,24,0.047134859058623635,0.6428571428571429,
2012,24,0.014860894650797984,560931200.0,24,0.047134859058623635,0.6428571428571429,
2013,24,-0.00647479220302416,261068000.0,24,0.047134859058623635,0.6428571428571429,
2014,24,0.02656523658449239,259258400.0,24,0.047134859058623635,0.6428571428571429,
2015,24,-0.05217096745004546,347188000.0,24,0.047134859058623635,0.6428571428571429,
2016,24,0.011489367772383297,358484800.0,24,0.047134859058623635,0.6428571428571429,
2017,24,0.013484115049880785,1288692000.0,24,0.047134859058623635,0.6428571428571429,
2018,24,0.011511359541312216,357003200.0,24,0.047134859058623635,0.6428571428571429,
2019,24,-0.004740921094765316,369610400.0,24,0.047134859058623635,0.6428571428571429,
2020,24,0.004518790593836863,528592800.0,24,0.047134859058623635,0.6428571428571429,
2021,24,0.0458649703286379,530008800.0,24,0.047134859058623635,0.6428571428571429,
2022,24,-0.060610698040468924,562770400.0,24,0.047134859058623635,0.6428571428571429,
2023,24,0.09842852426912219,593341000.0,24,0.047134859058623635,0.6428571428571429,
2010,25,-0.10211525725156989,648861600.0,25,0.047957840425670716,0.5714285714285714,
2011,25,-0.0031694988912805977,675006400.0,25,0.047957840425670716,0.5714285714285714,
