Date,Spread Type,Strike Price,Probability of Expiring Worthless
2016-09-12,bull,215.0,0.5599794192625719
2016-09-12,bull,188.0,0.9933430593399284
2016-09-12,bull,214.0,0.5916010743402328
2016-09-13,bull,214.0,0.4923675344559495
2016-09-13,bull,188.0,0.9869413344895177
2016-09-13,bull,213.0,0.5247160868915156
2016-09-14,bull,214.0,0.48977518076961485
2016-09-14,bull,188.0,0.9867213213042533
2016-09-14,bull,213.0,0.5221275539062591
2016-09-15,bull,213.0,0.5900674641591108
2016-09-15,bull,188.0,0.9915801127017758
2016-09-15,bull,213.0,0.5900674641591108
2016-09-16,bull,213.0,0.5292409878563905
2016-09-16,bull,188.0,0.9873185778246472
2016-09-16,bull,212.0,0.5615382801844722
2016-09-19,bull,212.0,0.5628180479708419
2016-09-19,bull,188.0,0.9874245927149823
2016-09-19,bull,212.0,0.5628180479708419
2016-09-20,bull,212.0,0.5631376063914478
2016-09-20,bull,188.0,0.9874509530608341
2016-09-20,bull,212.0,0.5631376063914478
2016-09-21,bull,212.0,0.6378130759443804
2016-09-21,bull,188.0,0.992524831222724
2016-09-21,bull,211.0,0.6680420697332156
2016-09-22,bull,212.0,0.6777519578572062
2016-09-22,bull,188.0,0.9944950150427643
2016-09-22,bull,212.0,0.6777519578572062
2016-09-23,bull,212.0,0.6429133651299974
2016-09-23,bull,188.0,0.992801804944429
2016-09-23,bull,212.0,0.6429133651299974
2016-09-26,bull,212.0,0.5891467977011738
2016-09-26,bull,189.0,0.986600224938858
2016-09-26,bull,211.0,0.6206713923296737
2016-09-27,bull,212.0,0.6302607741337678
2016-09-27,bull,189.0,0.9898732542909715
2016-09-27,bull,211.0,0.6607232810871225
2016-09-28,bull,212.0,0.6621370578361183
2016-09-28,bull,189.0,0.9919662116394867
2016-09-28,bull,211.0,0.691531608458158
2016-09-29,bull,212.0,0.6029096442514637
2016-09-29,bull,189.0,0.987774256033383
2016-09-29,bull,211.0,0.634117799660903
2016-09-30,bull,212.0,0.6521377211278377
2016-09-30,bull,189.0,0.9913477358553644
2016-09-30,bull,211.0,0.6818906044609242
2016-10-03,bull,212.0,0.6366085476983877
2016-10-03,bull,189.0,0.9903188834714336
2016-10-03,bull,211.0,0.6668755918285169
2016-10-04,bull,212.0,0.6029096442514637
2016-10-04,bull,189.0,0.987774256033383
2016-10-04,bull,211.0,0.634117799660903
2016-10-05,bull,212.0,0.6320787682080806
2016-10-05,bull,189.0,0.9900024123911734
2016-10-05,bull,211.0,0.6624861628454944
2016-10-06,bull,212.0,0.6366085476983877
2016-10-06,bull,189.0,0.9903188834714336
2016-10-06,bull,211.0,0.6668755918285169
2016-10-07,bull,213.0,0.5825408658301812
2016-10-07,bull,190.0,0.9856498721237676
2016-10-07,bull,211.0,0.644979180247867
2016-10-10,bull,213.0,0.6172917592998313
2016-10-10,bull,190.0,0.988623509758974
2016-10-10,bull,211.0,0.6778796883756035
