Ticker,Month,Mean Return,Std Return,Highest Return Value,Highest Return Year,Lowest Return Value,Lowest Return Year,Mean Volume,Highest Volume Value,Highest Volume Year,Lowest Volume Value,Lowest Volume Year,Mean ATR,Mean RSI,Mean 20 Day MA,Mean Upper Band,Mean Lower Band,Mean Tenkan-sen,Mean Kijun-sen,Mean Senkou Span A,Mean Senkou Span B,Mean Chikou Span,Close > RSI,Close > Upper Band,High > ATR
SPYD,Jan,2.0312748441424793,3.712468628386247,8.071617330885307,2019,-3.3704968251780043,2020,16033250.0,48251600,2022,309900,2016,0.47588411179486884,55.86381082648522,36.4857956753787,37.724858991226384,35.24673235953101,36.57287935690773,36.453251696678635,36.30311831848804,36.38392914049181,37.07447067000214,0,1,8
SPYD,Feb,-0.3637892540476486,6.277019809458161,9.615955723618775,2021,-10.359298852059284,2020,17762212.5,41847800,2023,225200,2016,0.5229043577398573,56.17899252409191,37.00041353897045,38.258148243306,35.74267883463489,36.99748594666782,36.718106071258845,36.40527326794047,35.794085032061524,35.565908817241066,0,3,8
SPYD,Mar,-2.574783883524997,11.060110583152543,7.9309245562376285,2016,-28.02808612689036,2020,28739875.0,65870500,2020,234000,2016,0.7231490729441131,47.988199083494614,36.64804500917941,38.82220405412645,34.47388596423238,36.211026445320044,36.41367996676862,36.765624592432346,36.44183599329614,36.27215289849695,1,2,8
SPYD,Apr,2.4208178067901507,4.812109811159852,13.170730572665912,2020,-2.8441410200248596,2022,18471362.5,51431200,2022,375000,2016,0.5621218039961302,56.87505923729514,35.82814170761216,37.05333436450877,34.60294905071555,35.99820969714258,35.9061765291637,36.58689200001253,36.224537305993245,36.276750433952884,0,2,8
SPYD,May,-0.56907395328374,4.56941370710477,4.3793885210133165,2022,-7.964362710667839,2023,31915150.0,124757600,2022,315600,2016,0.5471908149707443,47.37031961286818,36.19950017314453,37.241894448896055,35.157105897392995,36.08885797749866,36.11099886984536,35.88584422998098,36.12335718075435,36.277753826395255,0,1,8
SPYD,Jun,0.15663783415059696,5.36443632540717,6.108793680945723,2019,-10.455463045366054,2022,21867387.5,55629900,2022,537700,2016,0.516150329632013,55.213371417840584,36.42317227909059,37.9258761761931,34.92046838198808,36.45722146250985,36.211010355608806,36.09647334403806,36.32442265516752,36.461343038133734,1,0,8
SPYD,Jul,1.6460485202799469,2.1261498599407758,4.746489305885615,2023,-1.4716890754359446,2021,18132775.0,39395300,2021,361100,2016,0.4674805459780094,54.96165048873517,36.23654165032106,37.28973509051751,35.183348210124606,36.16622169151967,36.273316645157806,36.3273203692524,36.01186720912075,36.47444750282156,0,2,8
SPYD,Aug,-1.0818666007688882,2.703624078970918,2.3291092884691444,2021,-4.906358791448351,2019,14941850.0,31339500,2022,286600,2016,0.426943392701803,50.26193078971844,36.50795748603337,37.47209244903968,35.543822523027075,36.50014709692631,36.31773534181,36.2131483711228,36.149151408625215,35.89628761011666,2,0,8
SPYD,Sep,-2.4227751215365574,5.18382624402113,5.353676410599428,2019,-11.810044395411289,2022,17161112.5,47614900,2022,241600,2016,0.463904248686448,48.56482391993889,36.37306238575687,37.52261619956235,35.223508571951385,36.2917264867546,36.3564756628266,36.376808553590514,36.35923043474517,35.69805590986907,1,0,8
SPYD,Oct,0.687633069312488,4.473755265902603,10.03664346229527,2022,-4.277160003002156,2023,14298544.444444444,33914100,2022,103500,2015,0.500360635533676,49.74738927252899,35.65639440170705,36.893245663850315,34.419543139563764,35.50080410159287,35.70050025344142,36.45474654433307,36.258410800351456,36.35143779176096,1,0,8
SPYD,Nov,4.849355795331994,5.783820260582759,16.594202392768832,2020,-2.5552035695950326,2021,14474355.555555556,43477600,2022,171100,2015,0.48288652977975854,58.427628428200514,35.44810089665115,36.74640732386624,34.149794469436074,35.69925311970797,35.24785972751638,35.65452259083589,35.964806255840124,36.61849766938144,0,5,9
SPYD,Dec,-0.07218272626026263,5.331667005919041,7.0519362114227935,2021,-9.652610655053639,2018,17296777.777777776,45557200,2022,243900,2015,0.4926991425792807,53.34993301455491,36.53863141764828,37.827628494030506,35.24963434126606,36.671010331225595,36.261390975191546,35.894661164073256,35.83485487697064,36.94509032729221,0,1,9
