Ticker,Month,Mean Return,Std Return,Highest Return Value,Highest Return Year,Lowest Return Value,Lowest Return Year,Mean Volume,Highest Volume Value,Highest Volume Year,Lowest Volume Value,Lowest Volume Year,Mean ATR,Mean RSI,Mean 20 Day MA,Mean Upper Band,Mean Lower Band,Mean Tenkan-sen,Mean Kijun-sen,Mean Senkou Span A,Mean Senkou Span B,Mean Chikou Span,Close > RSI,Close > Upper Band,High > ATR
SPXS,Jan,-0.9990479068849748,13.374830637922608,18.972602739726028,2009,-21.175705826795944,2019,74983177.86666666,555251700,2023,75701,2011,549.8197451810101,39.94647049360034,8388.06986754591,9649.977469204112,7126.162265887702,8449.758025400002,8766.632637882267,3887.5412321040462,4285.931692810047,10205.809227035557,13,1,15
SPXS,Feb,-1.0924279994942656,14.255846785339557,30.36845135290731,2009,-15.895823978446344,2015,80226197.86666666,556870600,2023,89199,2011,670.3567630493433,41.10871409568936,8768.870676149267,10080.860312640278,7456.881039658258,8963.110693235565,8842.19510564135,8865.681044015491,3911.7141631692875,8163.7354737693395,12,2,15
SPXS,Mar,-8.755593372295465,9.404316084607268,6.162164361627243,2018,-30.183263413557082,2009,102630742.26666667,771848600,2023,99607,2010,941.3349271065872,42.61504640512764,9938.221716096346,12800.006168024924,7076.437264167768,10052.223769735398,10279.21381538821,8737.054494465829,9552.569662726712,6422.012098344568,12,0,15
SPXS,Apr,-6.814820401213688,14.198210254180403,27.938670674445376,2022,-36.198242884320955,2020,76751079.13333334,425341800,2023,91828,2010,503.9205429590626,40.22888689963443,7519.70130847173,9083.688480320629,5955.714136622829,7057.185277999832,8689.382512900514,10253.089657343402,9931.997276865131,5858.116782783565,13,1,15
SPXS,May,-0.9251148544654294,12.341823452111594,21.3302752293578,2010,-19.103139013452918,2009,96780531.6,604093400,2022,163526,2009,391.67120685898027,46.787545248702706,6172.195436110226,7093.222154959515,5251.168717260939,6089.91854228599,6592.183827972452,8477.44229193192,10028.610867256179,5773.156911147835,12,3,15
SPXS,Jun,-1.862767139030249,11.418280444119725,24.46311742509004,2022,-18.636561302440015,2019,77324512.2,459143500,2023,148817,2010,331.4049393447367,43.48650121621784,5793.876438532502,6518.485236838874,5069.26764022613,5788.953929399321,5927.38652722151,6538.109956290561,9272.995368859787,5197.660484880004,12,2,15
SPXS,Jul,-9.75014744995892,8.532609803097236,5.237268518518512,2011,-24.306074941202006,2022,65907768.93333333,391439000,2023,113438,2012,285.11360656335364,37.34604960397214,5700.589443865914,6539.590296987137,4861.588590744688,5652.020970621555,5780.847864529925,5920.868653998226,6931.373396165725,4831.922936133843,12,1,15
SPXS,Aug,-0.21062279406394277,10.63399793724519,16.552901023890776,2015,-18.711652636927155,2020,73031249.06666666,498915600,2023,120444,2010,253.08589248993317,45.67464083353814,4954.968394632773,5689.67937123741,4220.257418028139,4919.536653446938,5341.061922212088,5817.0804584170355,6067.032699099316,4274.087552728574,12,3,15
SPXS,Sep,2.0255069488529727,14.259999433950036,30.881707199586252,2022,-24.590163934426236,2010,86588329.13333334,564689900,2022,114082,2010,217.944714102724,43.557973849539025,4636.222293450442,5234.616516762119,4037.8280701387653,4518.657959486106,4761.633314182912,5239.947080135393,5677.8190063915445,3858.637635559195,12,3,15
SPXS,Oct,-6.2220521824381665,14.264994871823118,21.11162092522281,2018,-30.574762316335345,2011,101756040.06666666,625117900,2022,100974,2010,192.6416557449785,44.97011440566378,4141.056203956443,4609.939762560276,3672.1726453526103,4090.9168422766647,4333.035140207465,4764.077451510641,5476.822948091678,3588.952294751931,12,3,15
SPXS,Nov,-9.741148934702933,8.221985874416237,1.385190317213314,2021,-27.914613422096558,2020,74994885.0625,466760400,2023,13882,2008,173.77335222947198,36.81152669289325,3780.9345067392765,4212.900228324879,3348.968785153673,3747.0210954418194,3925.4394218830594,4311.469733865208,4729.818316497707,7547.287736904979,12,0,15
SPXS,Dec,-4.052156061441635,12.012559438897737,26.916729657915074,2018,-18.34264432029795,2010,80222639.1875,507249700,2022,63419,2008,839.2009125894729,39.601135371704665,8688.314934161896,10342.090658430381,7034.539209893412,8980.07053903377,10440.473758949305,3895.186796496285,4351.686755903802,8616.548867896905,13,0,16
