Date,Returns,Pos %,Kelly Ratio,Kelly Fraction,Tail Ratio,Sharpe Ratio,Alpha_SPY,Sharpe_std
1993-01-25,0.023471171753552733,0.5757575757575758,0.12353009133854809,0.12353009133854809,0.9171805729517494,0.07454141046169568,0.0,0.9793517762406088
1993-02-01,0.023471171753552733,0.5757575757575758,0.12353009133854809,0.12353009133854809,0.9171805729517494,0.07454141046169568,0.0,0.9793517762406088
1993-02-08,-0.008339466311603205,0.5757575757575758,0.12353009133854809,0.12353009133854809,0.9171805729517494,0.07454141046169568,0.0,0.9793517762406088
1993-02-15,-0.02312538537677522,0.5757575757575758,0.12353009133854809,0.12353009133854809,0.9171805729517494,0.07454141046169568,0.0,0.9793517762406088
1993-02-22,0.019368918888166053,0.5757575757575758,0.12353009133854809,0.12353009133854809,0.9171805729517494,0.07454141046169568,0.0,0.9793517762406088
1993-03-01,0.007741568600197368,0.5757575757575758,0.12353009133854809,0.12353009133854809,0.9171805729517494,0.07454141046169568,0.0,0.9793517762406088
1993-03-08,0.007681262577852843,0.5757575757575758,0.12353009133854809,0.12353009133854809,0.9171805729517494,0.07454141046169568,0.0,0.9793517762406088
1993-03-15,-0.0013859952814874177,0.5757575757575758,0.12353009133854809,0.12353009133854809,0.9171805729517494,0.07454141046169568,0.0,0.9793517762406088
1993-03-22,0.001933843259779744,0.5757575757575758,0.12353009133854809,0.12353009133854809,0.9171805729517494,0.07454141046169568,0.0,0.9793517762406088
1993-03-29,-0.01809360292076545,0.5757575757575758,0.12353009133854809,0.12353009133854809,0.9171805729517494,0.07454141046169568,0.0,0.9793517762406088
1993-04-05,0.004252452689643693,0.5757575757575758,0.12353009133854809,0.12353009133854809,0.9171805729517494,0.07454141046169568,0.0,0.9793517762406088
1993-04-12,0.014820179130263567,0.5757575757575758,0.12353009133854809,0.12353009133854809,0.9171805729517494,0.07454141046169568,0.0,0.9793517762406088
1993-04-19,-0.02642601047926707,0.5757575757575758,0.12353009133854809,0.12353009133854809,0.9171805729517494,0.07454141046169568,0.0,0.9793517762406088
1993-04-26,0.006429184357093165,0.5757575757575758,0.12353009133854809,0.12353009133854809,0.9171805729517494,0.07454141046169568,0.0,0.9793517762406088
1993-05-03,0.007096071125709313,0.5757575757575758,0.12353009133854809,0.12353009133854809,0.9171805729517494,0.07454141046169568,0.0,0.9793517762406088
1993-05-10,-0.007751631402016956,0.5757575757575758,0.12353009133854809,0.12353009133854809,0.9171805729517494,0.07454141046169568,0.0,0.9793517762406088
1993-05-17,0.017045291786288885,0.5757575757575758,0.12353009133854809,0.12353009133854809,0.9171805729517494,0.07454141046169568,0.0,0.9793517762406088
1993-05-24,0.010475686999028344,0.5757575757575758,0.12353009133854809,0.12353009133854809,0.9171805729517494,0.07454141046169568,0.0,0.9793517762406088
1993-05-31,0.0013816452586006278,0.5757575757575758,0.12353009133854809,0.12353009133854809,0.9171805729517494,0.07454141046169568,0.0,0.9793517762406088
1993-06-07,-0.004140634718721392,0.5757575757575758,0.12353009133854809,0.12353009133854809,0.9171805729517494,0.07454141046169568,0.0,0.9793517762406088
1993-06-14,-0.013166927378487903,0.5757575757575758,0.12353009133854809,0.12353009133854809,0.9171805729517494,0.07454141046169568,0.0,0.9793517762406088
1993-06-21,0.013452258624768954,0.5757575757575758,0.12353009133854809,0.12353009133854809,0.9171805729517494,0.07454141046169568,0.0,0.9793517762406088
1993-06-28,-0.002093161417766165,0.5757575757575758,0.12353009133854809,0.12353009133854809,0.9171805729517494,0.07454141046169568,0.0,0.9793517762406088
1993-07-05,0.00629288105019965,0.5757575757575758,0.12353009133854809,0.12353009133854809,0.9171805729517494,0.07454141046169568,0.0,0.9793517762406088
1993-07-12,-0.00486405434811632,0.5757575757575758,0.12353009133854809,0.12353009133854809,0.9171805729517494,0.07454141046169568,0.0,0.9793517762406088
1993-07-19,-0.0006979078136361005,0.5757575757575758,0.12353009133854809,0.12353009133854809,0.9171805729517494,0.07454141046169568,0.0,0.9793517762406088
1993-07-26,0.002794856455695438,0.5757575757575758,0.12353009133854809,0.12353009133854809,0.9171805729517494,0.07454141046169568,0.0,0.9793517762406088
1993-08-02,0.0027869921808887366,0.5757575757575758,0.12353009133854809,0.12353009133854809,0.9171805729517494,0.07454141046169568,0.0,0.9793517762406088
1993-08-09,0.0034754757318091745,0.5757575757575758,0.12353009133854809,0.12353009133854809,0.9171805729517494,0.07454141046169568,0.0,0.9793517762406088
1993-08-16,0.015235218856024968,0.5757575757575758,0.12353009133854809,0.12353009133854809,0.9171805729517494,0.07454141046169568,0.0,0.9793517762406088
1993-08-23,0.009550327428497818,0.5757575757575758,0.12353009133854809,0.12353009133854809,0.9171805729517494,0.07454141046169568,0.0,0.9793517762406088
1993-08-30,0.0027019605609810426,0.5757575757575758,0.12353009133854809,0.12353009133854809,0.9171805729517494,0.07454141046169568,0.0,0.9793517762406088
1993-09-06,0.0006741763750452989,0.5757575757575758,0.12353009133854809,0.12353009133854809,0.9171805729517494,0.07454141046169568,0.0,0.9793517762406088
1993-09-13,-0.012794720007993865,0.5757575757575758,0.12353009133854809,0.12353009133854809,0.9171805729517494,0.07454141046169568,0.0,0.9793517762406088
1993-09-20,0.005544737135837696,0.5757575757575758,0.12353009133854809,0.12353009133854809,0.9171805729517494,0.07454141046169568,0.0,0.9793517762406088
1993-09-27,0.008190905135223137,0.5757575757575758,0.12353009133854809,0.12353009133854809,0.9171805729517494,0.07454141046169568,0.0,0.9793517762406088
