Friday Date,Monday Date,Friday Close,Monday Open,Monday Close,Friday-Monday Return (%),Volume Liquidity,Positive Return,Friday Volume,Monday Volume
2013-09-06,2013-09-09,166.0399932861328,166.4499969482422,167.6300048828125,0.9576076011636896,Sufficient,True,159756500,87559300.0
2013-09-13,2013-09-16,169.3300018310547,171.16000366210938,170.30999755859375,0.5787490208125268,Sufficient,True,72727800,106299200.0
2013-09-20,2013-09-23,170.72000122070312,170.49000549316406,169.92999267578125,-0.462751018786937,Sufficient,False,132867100,104616500.0
2013-09-27,2013-09-30,168.91000366210938,167.47999572753906,168.00999450683594,-0.5328335419812269,Sufficient,False,99141800,143937000.0
2013-10-04,2013-10-07,168.88999938964844,167.4199981689453,167.42999267578125,-0.8644719753351328,Sufficient,False,96878000,96295000.0
2013-10-11,2013-10-14,170.25999450683594,169.2100067138672,170.94000244140625,0.3993938426580944,Sufficient,True,105040000,112106000.0
2013-10-18,2013-10-21,174.38999938964844,174.4499969482422,174.39999389648438,0.005731123843636392,Sufficient,True,138316000,104104000.0
2013-10-25,2013-10-28,175.9499969482422,175.88999938964844,176.22999572753906,0.15913542719710308,Sufficient,True,93625000,84979000.0
2013-11-01,2013-11-04,176.2100067138672,176.69000244140625,176.8300018310547,0.3518501183614723,Sufficient,True,142805000,85677000.0
2013-11-08,2013-11-11,177.2899932861328,177.1199951171875,177.32000732421875,0.01692934695840226,Sufficient,True,136713000,62614000.0
2013-11-15,2013-11-18,180.0500030517578,180.35000610351562,179.4199981689453,-0.3499055107660268,Sufficient,False,102818000,104796000.0
2013-11-22,2013-11-25,180.80999755859375,181.1300048828125,180.6300048828125,-0.09954796649058142,Sufficient,False,81296000,79486000.0
2013-11-29,2013-12-02,181.0,181.08999633789062,180.52999877929688,-0.2596691827089089,Sufficient,False,55870900,99726000.0
2013-12-06,2013-12-09,180.94000244140625,181.47000122070312,181.39999389648438,0.25422319491074613,Sufficient,True,127728000,70124000.0
2013-12-13,2013-12-16,178.11000061035156,178.9499969482422,179.22000122070312,0.6232107161573107,Sufficient,True,107808000,96195000.0
2013-12-20,2013-12-23,181.55999755859375,182.4499969482422,182.52999877929688,0.5342593268046737,Sufficient,True,197087000,85598000.0
2013-12-27,2013-12-30,183.85000610351562,183.8699951171875,183.82000732421875,-0.016316985749777115,Sufficient,False,61814000,56857000.0
