Date,SPY,QQQ,SPYD,AGNC,JEPI,O,MSFT,NVDA,TSLA,TQQQ,XXXX,SOXL,NVDL,TSLL,SPXS,UVXY
2010-01-04,86.86006164550781,40.7332649230957,,3.7755298614501953,,12.93356990814209,23.3893985748291,4.240230083465576,,,,,,,18811.005859375,
2010-01-05,87.08997344970703,40.7332649230957,,3.762805700302124,,13.15160083770752,23.39695167541504,4.302147388458252,,,,,,,18637.47265625,
2010-01-06,87.15129089355469,40.48757553100586,,3.7175753116607666,,13.14168930053711,23.253374099731445,4.329665660858154,,,,,,,18556.490234375,
2010-01-07,87.51919555664062,40.51392364501953,,3.699201822280884,,13.419193267822266,23.011545181274414,4.244816303253174,,,,,,,18325.1171875,
2010-01-08,87.81044006347656,40.84733963012695,,3.7458434104919434,,13.602538108825684,23.170246124267578,4.2539873123168945,,,,,,,18128.443359375,
2010-01-11,87.93307495117188,40.68062210083008,,3.813694477081299,,13.498483657836914,22.87551498413086,4.194362163543701,,,,,,,18070.595703125,
2010-01-12,87.11298370361328,40.17168426513672,,3.7995591163635254,,13.548033714294434,22.724367141723633,4.052184104919434,,,,,,,18591.197265625,
2010-01-13,87.84876251220703,40.67185592651367,,3.7953195571899414,,13.701651573181152,22.935972213745117,4.10722017288208,,,,,,,18105.302734375,
2010-01-14,88.08635711669922,40.70695877075195,,3.7670512199401855,,13.647146224975586,23.39695167541504,4.043010234832764,,,,,,,17978.048828125,
2010-01-15,87.09766387939453,40.23311233520508,,3.7246437072753906,,13.622357368469238,23.32138442993164,3.9237594604492188,,,,,,,18568.05859375,
2010-01-19,88.18598937988281,40.88242721557617,,3.7260560989379883,,13.850305557250977,23.50275993347168,3.997143030166626,,,,,,,17908.634765625,
2010-01-20,87.28926086425781,40.29452133178711,,3.714750051498413,,13.642189025878906,23.11734390258789,3.981093406677246,,,,,,,18406.09375,
2010-01-21,85.61077880859375,39.91720962524414,,3.670929431915283,,13.339912414550781,22.679025650024414,3.910001277923584,,,,,,,19424.154296875,
2010-01-22,83.70236206054688,38.75014114379883,,3.6921331882476807,,13.017805099487305,21.88553237915039,3.7746989727020264,,,,,,,20708.302734375,
2010-01-25,84.13153839111328,38.88175964355469,,3.7161624431610107,,13.305219650268555,22.15758514404297,3.838909387588501,,,,,,,20407.51171875,
2010-01-26,83.77898406982422,38.91687774658203,,3.700615167617798,,13.513351440429688,22.293615341186523,3.7173659801483154,,,,,,,20708.302734375,
2010-01-27,84.17755126953125,39.223995208740234,,3.737365961074829,,13.79580307006836,22.422077178955078,3.8182709217071533,,,,,,,20407.51171875,
2010-01-28,83.21183776855469,38.21485900878906,,3.7684624195098877,,13.837141990661621,22.036670684814453,3.689847946166992,,,,,,,21124.78515625,
2010-01-29,82.30746459960938,37.547977447509766,,3.772702693939209,,13.911856651306152,21.296072006225586,3.529320478439331,,,,,,,21842.0546875,
2010-02-01,83.5873794555664,37.960391998291016,,3.7204017639160156,,13.876995086669922,21.469881057739258,3.799924612045288,,,,,,,20847.13671875,
2010-02-02,84.59908294677734,38.30262756347656,,3.7684624195098877,,13.797285079956055,21.507667541503906,3.838909387588501,,,,,,,20037.30859375,
2010-02-03,84.17755126953125,38.513221740722656,,3.817936658859253,,13.478508949279785,21.63614273071289,3.871016025543213,,,,,,,20349.669921875,
2010-02-04,81.579345703125,37.398799896240234,,3.754328727722168,,12.96049976348877,21.039125442504883,3.646275520324707,,,,,,,22246.966796875,
2010-02-05,81.74795532226562,37.7147102355957,,3.771289587020874,,13.010298728942871,21.17515754699707,3.7196602821350098,,,,,,,22085.00390625,
2010-02-08,81.15778350830078,37.442684173583984,,3.8476202487945557,,12.821020126342773,20.948440551757812,3.7127811908721924,,,,,,,22605.599609375,
2010-02-09,82.17716217041016,37.828765869140625,,3.8080410957336426,,12.711444854736328,21.167598724365234,3.6829681396484375,,,,,,,21737.9375,
2010-02-10,82.01618957519531,37.74979019165039,,3.7359514236450195,,12.82600212097168,21.15249252319336,3.7540597915649414,,,,,,,21842.0546875,
2010-02-11,82.87459564208984,38.32014465332031,,3.6242825984954834,,12.965476036071777,21.250720977783203,3.926053047180176,,0.4205464720726013,,,,,21136.349609375,
2010-02-12,82.80564880371094,38.39914321899414,,3.584705114364624,,13.443646430969238,21.107133865356445,3.9787991046905518,,0.4222683012485504,,,,,21136.349609375,
2010-02-16,84.10858917236328,38.89053726196289,,3.6143863201141357,,13.872004508972168,21.524728775024414,4.052184104919434,,0.43862441182136536,,,,,20118.2890625,
2010-02-17,84.50709533691406,39.109920501708984,,3.525336742401123,,14.106121063232422,21.70694923400879,4.091167449951172,,0.4460678994655609,,,,,19794.361328125,
2010-02-18,85.00531005859375,39.35562515258789,,3.538057327270508,,14.320293426513672,21.99546241760254,3.822857141494751,,0.4545244574546814,,,,,19424.154296875,
2010-02-19,85.18154907226562,39.33807373046875,,3.505547285079956,,14.235631942749023,21.84361457824707,3.8022172451019287,,0.4545244574546814,,,,,19308.46875,
2010-02-22,85.1968994140625,39.259098052978516,,3.5168557167053223,,14.096160888671875,21.8132381439209,3.809096574783325,,0.45133450627326965,,,,,19331.603515625,
2010-02-23,84.16219329833984,38.75014114379883,,3.528160810470581,,13.961668968200684,21.509536743164062,3.7173659801483154,,0.43371260166168213,,,,,20072.015625,
2010-02-24,84.9363021850586,39.14502716064453,,3.5338170528411865,,14.10114574432373,21.737316131591797,3.7953379154205322,,0.4468271732330322,,,,,19505.138671875,
