Date,Ladder Type,Lower Strike,Upper Strike,Probability Lower Expiry,Probability Upper Expiry
2016-09-12,bull,215.0,188.0,0.5599794192625719,0.9933430593399284
2016-09-12,bull,188.0,214.0,0.9933430593399284,0.5916010743402328
2016-09-13,bull,214.0,188.0,0.4923675344559495,0.9869413344895177
2016-09-13,bull,188.0,213.0,0.9869413344895177,0.5247160868915156
2016-09-14,bull,214.0,188.0,0.48977518076961485,0.9867213213042533
2016-09-14,bull,188.0,213.0,0.9867213213042533,0.5221275539062591
2016-09-15,bull,213.0,188.0,0.5900674641591108,0.9915801127017758
2016-09-15,bull,188.0,213.0,0.9915801127017758,0.5900674641591108
2016-09-16,bull,213.0,188.0,0.5292409878563905,0.9873185778246472
2016-09-16,bull,188.0,212.0,0.9873185778246472,0.5615382801844722
2016-09-19,bull,212.0,188.0,0.5628180479708419,0.9874245927149823
2016-09-19,bull,188.0,212.0,0.9874245927149823,0.5628180479708419
2016-09-20,bull,212.0,188.0,0.5631376063914478,0.9874509530608341
2016-09-20,bull,188.0,212.0,0.9874509530608341,0.5631376063914478
2016-09-21,bull,212.0,188.0,0.6378130759443804,0.992524831222724
2016-09-21,bull,188.0,211.0,0.992524831222724,0.6680420697332156
2016-09-22,bull,212.0,188.0,0.6777519578572062,0.9944950150427643
2016-09-22,bull,188.0,212.0,0.9944950150427643,0.6777519578572062
2016-09-23,bull,212.0,188.0,0.6429133651299974,0.992801804944429
2016-09-23,bull,188.0,212.0,0.992801804944429,0.6429133651299974
2016-09-26,bull,212.0,189.0,0.5891467977011738,0.986600224938858
2016-09-26,bull,189.0,211.0,0.986600224938858,0.6206713923296737
2016-09-27,bull,212.0,189.0,0.6302607741337678,0.9898732542909715
2016-09-27,bull,189.0,211.0,0.9898732542909715,0.6607232810871225
2016-09-28,bull,212.0,189.0,0.6621370578361183,0.9919662116394867
2016-09-28,bull,189.0,211.0,0.9919662116394867,0.691531608458158
2016-09-29,bull,212.0,189.0,0.6029096442514637,0.987774256033383
2016-09-29,bull,189.0,211.0,0.987774256033383,0.634117799660903
2016-09-30,bull,212.0,189.0,0.6521377211278377,0.9913477358553644
2016-09-30,bull,189.0,211.0,0.9913477358553644,0.6818906044609242
2016-10-03,bull,212.0,189.0,0.6366085476983877,0.9903188834714336
2016-10-03,bull,189.0,211.0,0.9903188834714336,0.6668755918285169
2016-10-04,bull,212.0,189.0,0.6029096442514637,0.987774256033383
2016-10-04,bull,189.0,211.0,0.987774256033383,0.634117799660903
2016-10-05,bull,212.0,189.0,0.6320787682080806,0.9900024123911734
2016-10-05,bull,189.0,211.0,0.9900024123911734,0.6624861628454944
2016-10-06,bull,212.0,189.0,0.6366085476983877,0.9903188834714336
2016-10-06,bull,189.0,211.0,0.9903188834714336,0.6668755918285169
2016-10-07,bull,213.0,190.0,0.5825408658301812,0.9856498721237676
2016-10-07,bull,190.0,211.0,0.9856498721237676,0.644979180247867
2016-10-10,bull,213.0,190.0,0.6172917592998313,0.988623509758974
2016-10-10,bull,190.0,211.0,0.988623509758974,0.6778796883756035
2016-10-11,bull,213.0,190.0,0.5311781318228919,0.9801767493350027
2016-10-11,bull,190.0,211.0,0.9801767493350027,0.595468091101859
2016-10-12,bull,213.0,190.0,0.540201284321291,0.9812428401303778
2016-10-12,bull,190.0,211.0,0.9812428401303778,0.6042422089618886
2016-10-13,bull,212.0,190.0,0.5499845836353586,0.9784786501256331
2016-10-13,bull,190.0,211.0,0.9784786501256331,0.5821966309462249
2016-10-14,bull,212.0,190.0,0.5535219268753526,0.9789351957015364
2016-10-14,bull,190.0,211.0,0.9789351957015364,0.5856847718167393
2016-10-17,bull,212.0,190.0,0.5296221465409016,0.9756948020014227
2016-10-17,bull,190.0,211.0,0.9756948020014227,0.5620677812832915
2016-10-18,bull,212.0,190.0,0.572384912043165,0.9812428401303778
2016-10-18,bull,190.0,211.0,0.9812428401303778,0.6042422089618886
2016-10-19,bull,212.0,190.0,0.5904037834276952,0.98325905820608
2016-10-19,bull,190.0,211.0,0.98325905820608,0.6219010995159825
2016-10-20,bull,212.0,190.0,0.5777816312458612,0.9818653145212394
2016-10-20,bull,190.0,211.0,0.9818653145212394,0.6095381083241105
2016-10-21,bull,212.0,190.0,0.580947178527188,0.9822229327122021
2016-10-21,bull,190.0,211.0,0.9822229327122021,0.6126417369302821
2016-10-24,bull,212.0,190.0,0.6094250410566606,0.9852034346581763
2016-10-24,bull,190.0,211.0,0.9852034346581763,0.6404697192462305
2016-10-25,bull,212.0,190.0,0.5869437094194909,0.9828854752982303
2016-10-25,bull,190.0,211.0,0.9828854752982303,0.618515329363345
2016-10-26,bull,212.0,190.0,0.5733385726822836,0.9813540247141315
2016-10-26,bull,190.0,211.0,0.9813540247141315,0.6051784880318226
2016-10-27,bull,212.0,190.0,0.5551279068325591,0.97913992647272
2016-10-27,bull,190.0,211.0,0.97913992647272,0.5872675702977856
2016-10-28,bull,212.0,190.0,0.5348084730185804,0.9764297622944825
2016-10-28,bull,190.0,211.0,0.9764297622944825,0.567202638643424
2016-10-31,bull,212.0,190.0,0.5351326415566315,0.9764750992292229
2016-10-31,bull,190.0,211.0,0.9764750992292229,0.5675234080100364
2016-11-01,bull,211.0,190.0,0.517596293068585,0.9685502247705486
2016-11-01,bull,190.0,210.0,0.9685502247705486,0.5502941419273539
2016-11-02,bull,211.0,190.0,0.4759030569767239,0.960399445845792
2016-11-02,bull,190.0,210.0,0.960399445845792,0.5087138018497922
2016-11-03,bull,210.0,190.0,0.47702718837332847,0.9531191687866492
2016-11-03,bull,190.0,209.0,0.9531191687866492,0.5099962289093015
2016-11-04,bull,209.0,190.0,0.5023810162257984,0.9512189389501512
2016-11-04,bull,190.0,209.0,0.9512189389501512,0.5023810162257984
2016-11-07,bull,209.0,190.0,0.6494569359668717,0.9790582304699424
2016-11-07,bull,190.0,209.0,0.9790582304699424,0.6494569359668717
2016-11-08,bull,209.0,190.0,0.6778479793390652,0.9826786433043
2016-11-08,bull,190.0,209.0,0.9826786433043,0.6778479793390652
2016-11-09,bull,209.0,190.0,0.7403275876540301,0.9891384916627013
2016-11-09,bull,190.0,209.0,0.9891384916627013,0.7403275876540301
2016-11-10,bull,209.0,190.0,0.7541244995168732,0.9903153790900435
2016-11-10,bull,190.0,209.0,0.9903153790900435,0.7541244995168732
2016-11-11,bull,209.0,190.0,0.7413641458525091,0.989229841886146
2016-11-11,bull,190.0,210.0,0.989229841886146,0.7139226768603182
2016-11-14,bull,209.0,190.0,0.745744068473084,0.9896105351102862
2016-11-14,bull,190.0,210.0,0.9896105351102862,0.7185302993139582
2016-11-15,bull,208.0,190.0,0.8102592980705012,0.9927894772203292
2016-11-15,bull,190.0,210.0,0.9927894772203292,0.7621094444273759
2016-11-16,bull,208.0,190.0,0.8013039114177437,0.99211155825749
2016-11-16,bull,190.0,211.0,0.99211155825749,0.7251658534765653
2016-11-17,bull,208.0,190.0,0.8251315648778944,0.9938400848266333
2016-11-17,bull,190.0,211.0,0.9938400848266333,0.7539804363330134
2016-11-18,bull,208.0,190.0,0.814953860120022,0.9931311358681876
2016-11-18,bull,190.0,211.0,0.9931311358681876,0.7415948059080777
2016-11-21,bull,208.0,190.0,0.8476965771334249,0.9952615416066417
2016-11-21,bull,190.0,212.0,0.9952615416066417,0.7569984136412815
2016-11-22,bull,208.0,190.0,0.8555192475531497,0.9957074819188726
2016-11-22,bull,190.0,212.0,0.9957074819188726,0.767451011869251
2016-11-23,bull,207.0,190.0,0.8756052975716617,0.9958248916733303
2016-11-23,bull,190.0,213.0,0.9958248916733303,0.7448560497607204
2016-11-25,bull,207.0,190.0,0.8882986114323471,0.9965517976830541
2016-11-25,bull,190.0,213.0,0.9965517976830541,0.76504462740612
2016-11-28,bull,208.0,190.0,0.8537259063229541,0.9956073343169624
2016-11-28,bull,190.0,214.0,0.9956073343169624,0.712256372719632
2016-11-29,bull,208.0,190.0,0.8613259214722411,0.9960233315993561
2016-11-29,bull,190.0,214.0,0.9960233315993561,0.7236557444348681
2016-11-30,bull,209.0,190.0,0.8318794898417561,0.9955050731260774
2016-11-30,bull,190.0,214.0,0.9955050731260774,0.7095709236348373
2016-12-01,bull,210.0,190.0,0.7925111531579796,0.9945931422320248
2016-12-01,bull,190.0,215.0,0.9945931422320248,0.6582182035560102
2016-12-02,bull,212.0,190.0,0.7452647918093334,0.9947261290504558
2016-12-02,bull,190.0,215.0,0.9947261290504558,0.6613970794017067
2016-12-05,bull,214.0,190.0,0.7260104115269596,0.99610569874902
2016-12-05,bull,190.0,215.0,0.99610569874902,0.698483057345829
2016-12-06,bull,215.0,190.0,0.7172924644891954,0.9966949417141155
2016-12-06,bull,190.0,216.0,0.9966949417141155,0.6895034171576732
2016-12-07,bull,215.0,190.0,0.7881196119616715,0.998364070290553
2016-12-07,bull,190.0,216.0,0.998364070290553,0.764095869997852
2016-12-08,bull,215.0,190.0,0.8001830845775735,0.99857435692643
2016-12-08,bull,190.0,217.0,0.99857435692643,0.7523486402716439
2016-12-09,bull,215.0,189.0,0.8280745511796178,0.9992611856913559
2016-12-09,bull,189.0,218.0,0.9992611856913559,0.7600840412561258
2016-12-12,bull,216.0,189.0,0.8013122304011997,0.9992088478469012
2016-12-12,bull,189.0,218.0,0.9992088478469012,0.7538579705129109
2016-12-13,bull,216.0,189.0,0.8318573464125114,0.9994704965763546
2016-12-13,bull,189.0,219.0,0.9994704965763546,0.7650443964009557
2016-12-14,bull,216.0,189.0,0.7933127361541876,0.9991283493498537
2016-12-14,bull,189.0,219.0,0.9991283493498537,0.7187264264180029
2016-12-15,bull,216.0,189.0,0.813034785743016,0.9993175362512253
2016-12-15,bull,189.0,220.0,0.9993175362512253,0.7161082150915256
2016-12-16,bull,217.0,189.0,0.7496646670969143,0.9989162586644761
2016-12-16,bull,189.0,220.0,0.9989162586644761,0.6684441204519065
2016-12-19,bull,217.0,189.0,0.761491286190001,0.9990451957640263
2016-12-19,bull,189.0,220.0,0.9990451957640263,0.6819982430340067
2016-12-20,bull,218.0,189.0,0.757461269249721,0.9992394515123694
2016-12-20,bull,189.0,220.0,0.9992394515123694,0.7053946661161999
2016-12-21,bull,218.0,189.0,0.7421201592419044,0.9991029759912466
2016-12-21,bull,189.0,221.0,0.9991029759912466,0.6602571795337845
2016-12-22,bull,218.0,189.0,0.7323546212002143,0.9990073367474408
2016-12-22,bull,189.0,221.0,0.9990073367474408,0.6492214801456395
2016-12-23,bull,219.0,189.0,0.7143105518771476,0.9990888468345283
2016-12-23,bull,189.0,221.0,0.9990888468345283,0.6585693092139255
2016-12-27,bull,219.0,189.0,0.7287184591203407,0.9992129950690298
2016-12-27,bull,189.0,221.0,0.9992129950690298,0.674178705183293
2016-12-28,bull,219.0,189.0,0.6791063898187827,0.9987232996709805
2016-12-28,bull,189.0,221.0,0.9987232996709805,0.6208603563819883
2016-12-29,bull,220.0,189.0,0.6489301082174349,0.9987069529457109
2016-12-29,bull,189.0,221.0,0.9987069529457109,0.6193912536936456
2016-12-30,bull,221.0,189.0,0.5950129082648999,0.9984093732392717
2016-12-30,bull,189.0,221.0,0.9984093732392717,0.5950129082648999
2017-01-03,bull,222.0,189.0,0.6157206064048801,0.9989707381536415
2017-01-03,bull,189.0,221.0,0.9989707381536415,0.6452237428966021
2017-01-04,bull,223.0,189.0,0.6251948378959,0.99927471300568
2017-01-04,bull,189.0,221.0,0.99927471300568,0.6826759670045011
2017-01-05,bull,224.0,189.0,0.5901343384798926,0.9992394515123694
2017-01-05,bull,189.0,221.0,0.9992394515123694,0.6777545884235336
2017-01-06,bull,224.0,189.0,0.6139959417003762,0.9993864110494198
2017-01-06,bull,189.0,222.0,0.9993864110494198,0.6718730461048662
2017-01-09,bull,224.0,190.0,0.5919178450809529,0.9989781854149441
2017-01-09,bull,190.0,222.0,0.9989781854149441,0.6509265222870909
2017-01-10,bull,224.0,190.0,0.5919178450809529,0.9989781854149441
2017-01-10,bull,190.0,222.0,0.9989781854149441,0.6509265222870909
2017-01-11,bull,224.0,190.0,0.6107834966031246,0.999133962233564
2017-01-11,bull,190.0,222.0,0.999133962233564,0.6688368410326756
2017-01-12,bull,224.0,190.0,0.5939949209852599,0.998996416998477
2017-01-12,bull,190.0,222.0,0.998996416998477,0.6529050754450895
2017-01-13,bull,224.0,190.0,0.6093201758252067,0.9991226420089928
2017-01-13,bull,190.0,223.0,0.9991226420089928,0.6387218455333317
2017-01-17,bull,224.0,190.0,0.5856665454137389,0.9989216077484981
2017-01-17,bull,190.0,223.0,0.9989216077484981,0.6155860618858013
2017-01-18,bull,224.0,191.0,0.6005020272321282,0.9987153645331361
2017-01-18,bull,191.0,223.0,0.9987153645331361,0.6301095714072084
2017-01-19,bull,224.0,191.0,0.5754879356160073,0.9984151294736547
2017-01-19,bull,191.0,223.0,0.9984151294736547,0.6055966599208716
2017-01-20,bull,224.0,191.0,0.6002071402461249,0.9987121271333295
2017-01-20,bull,191.0,223.0,0.9987121271333295,0.6298213051435131
2017-01-23,bull,224.0,192.0,0.5826798536767325,0.9980035498200255
2017-01-23,bull,192.0,223.0,0.9980035498200255,0.6126569798936028
2017-01-24,bull,224.0,192.0,0.6253088129619094,0.9986024707874627
2017-01-24,bull,192.0,223.0,0.9986024707874627,0.6542980809634197
2017-01-25,bull,224.0,192.0,0.6803676568004946,0.9991514907693254
2017-01-25,bull,192.0,223.0,0.9991514907693254,0.7075439967532107
2017-01-26,bull,224.0,192.0,0.6738646080695055,0.9990975173090723
2017-01-26,bull,192.0,224.0,0.9990975173090723,0.6738646080695055
2017-01-27,bull,224.0,193.0,0.6639978586115426,0.9986650501118932
2017-01-27,bull,193.0,224.0,0.9986650501118932,0.6639978586115426
