Ticker,Month,Mean Return,Std Return,Highest Return Value,Highest Return Year,Lowest Return Value,Lowest Return Year,Mean Volume,Highest Volume Value,Highest Volume Year,Lowest Volume Value,Lowest Volume Year,Mean ATR,Mean RSI,Mean 20 Day MA,Mean Upper Band,Mean Lower Band,Mean Tenkan-sen,Mean Kijun-sen,Mean Senkou Span A,Mean Senkou Span B,Mean Chikou Span,Close > RSI,Close > Upper Band,High > ATR
O,Jan,2.268187442612201,7.479375031525717,13.833574825811867,2015,-16.760256299720822,2009,32119733.083333332,74286300,2022,1403315,2001,0.7319943025610387,55.53055116787167,37.33736695264864,39.050473971425816,35.624259933871464,37.3885968827539,38.345563974876185,38.00195209783602,37.86072588401305,38.26349903145928,6,13,24
O,Feb,-0.9305845619162927,4.816074056814169,8.925949766921736,2014,-9.029579689303857,2009,29978951.541666668,71062900,2022,1409089,2001,0.7578680801735187,55.84393129126092,38.1074692867827,39.72935992964813,36.485578643917265,38.280088672669315,37.88122503422854,38.277933844112425,38.03143749488027,37.684701937437055,5,5,24
O,Mar,1.4433758011798616,8.528190537875373,11.342885939649584,2008,-31.1230822057341,2020,39087501.583333336,110706564,2020,1787629,2001,0.904908321861086,52.64504144361397,38.0462779009295,40.11533710613807,35.97721869572094,37.71447649890461,37.87341440184775,37.87335433314553,38.53764434432735,38.23423741107731,7,8,24
O,Apr,2.369661719641836,7.622818781222631,18.65036234157753,2009,-14.333704938337789,2004,30910994.291666668,79893517,2015,1756877,2001,0.8476095049280943,55.96651604880117,37.92292995700179,39.982101396808496,35.86375851719508,38.08118105771067,37.781982951509825,37.94295694389068,37.70525979608141,37.89534082242873,7,9,24
O,May,-1.453265863836452,4.294245776624499,8.309453286115588,2000,-10.829895645148714,2013,32894273.583333332,93966500,2022,2020036,2000,0.8292463960167896,49.278509717633106,38.132863599592646,40.01629872070344,36.24942847848185,37.97262040560724,38.088647830881946,37.78887925889628,37.71149164812389,38.267552505891565,8,1,24
O,Jun,1.1291643953630526,5.775567377676647,15.426861162678307,2016,-8.132748896104225,2007,35445423.75,105298900,2023,1752131,2000,0.7774021237332952,53.829465236346465,38.00061988141974,39.836798644757536,36.16444111808194,38.079126801248236,37.9283453688563,38.09041703269639,38.09322173379115,38.89811751323001,6,6,24
O,Jul,1.9173439816672264,4.873064264262268,10.676622398788659,2008,-8.450700620968599,2002,27989272.625,89646300,2023,1231794,2000,0.7570625036813577,54.58707187905049,38.45139243261854,40.04850047774184,36.854284387495234,38.525361140702366,38.28385068753581,37.95527993218508,37.972520243356065,39.17805302228246,6,5,24
O,Aug,0.9512630356490929,6.471113765983099,15.040473056206372,2007,-9.00714467543795,2013,29896287.0,127240200,2023,1646039,2000,0.7369506718024764,51.54917652758197,39.05392976217848,40.70524283992393,37.402616684433035,39.097986137588755,38.79052683074581,38.29281606194934,38.169821725915774,38.577953794997406,7,5,24
O,Sep,-1.344453355412517,5.281158541956244,6.041621208262571,2015,-14.762739010788872,2022,34332665.208333336,117473900,2023,1720550,2000,0.7490098864213567,47.61574070732566,39.054485842853715,40.71096332170192,37.3980083640055,38.99748445019785,39.02860528588196,38.850305939468875,38.327717737219885,38.359213940994685,8,1,24
O,Oct,0.5436397744290122,6.743040373367652,12.846293686154198,2014,-11.489614474411248,2016,39925156.75,148006000,2023,1576276,2000,0.8036530126713677,51.03655076992135,38.35398340090745,40.28869447220319,36.419272329611715,38.18928138004043,38.58176134125757,39.06782045633403,38.64782749224026,38.65969209316063,8,7,24
O,Nov,1.0471111870703782,5.663753352158669,13.887711836261406,2023,-12.673011525857557,2008,35608705.208333336,131658100,2023,1086697,2000,0.8357777660210871,53.40208695906301,38.503470053764914,40.43497457375106,36.57196553377876,38.52512307347311,38.278575947783644,38.49006057938712,38.75726002156237,39.13118246549752,6,7,24
O,Dec,1.631620487545806,4.110248183899022,14.660725312869683,2008,-5.192983105603998,2007,37732667.083333336,150768300,2023,1448104,2000,0.7735146683825519,53.85553198087897,38.78380099490259,40.31109714897416,37.25650484083102,38.844267299590236,38.67928715968011,38.35205122325407,38.65533771859497,39.088560922756585,7,5,24
