Date,Ladder Type,Lower Strike,Upper Strike,Probability Lower Expiry,Probability Upper Expiry
2016-09-12,bear,221.0,222.0,0.3722786493925372,0.3430986938617049
2016-09-12,bear,222.0,221.0,0.3430986938617049,0.3722786493925372
2016-09-13,bear,221.0,222.0,0.28209718581072807,0.2562920701186102
2016-09-13,bear,222.0,221.0,0.2562920701186102,0.28209718581072807
2016-09-14,bear,221.0,223.0,0.2799054557204583,0.229903690925995
2016-09-14,bear,223.0,220.0,0.229903690925995,0.30693002131142266
2016-09-15,bear,221.0,223.0,0.34057370465495,0.28537762309215076
2016-09-15,bear,223.0,220.0,0.28537762309215076,0.3698137406644431
2016-09-16,bear,221.0,223.0,0.28595037885726193,0.23536369568821858
2016-09-16,bear,223.0,220.0,0.23536369568821858,0.31323434493673485
2016-09-19,bear,221.0,223.0,0.2870556428636908,0.23636365563330974
2016-09-19,bear,223.0,220.0,0.23636365563330974,0.3143860838574553
2016-09-20,bear,221.0,223.0,0.28733203120378614,0.23661379023869944
2016-09-20,bear,223.0,220.0,0.23661379023869944,0.31467404807170674
2016-09-21,bear,221.0,223.0,0.3566209904290376,0.3002967634936926
2016-09-21,bear,223.0,220.0,0.3002967634936926,0.3863081669761367
2016-09-22,bear,221.0,223.0,0.3979321503237366,0.33916436504366143
2016-09-22,bear,223.0,220.0,0.33916436504366143,0.42851664244133525
2016-09-23,bear,221.0,223.0,0.36171898747505393,0.3050574512300677
2016-09-23,bear,223.0,220.0,0.3050574512300677,0.39153651078303087
2016-09-26,bear,220.0,223.0,0.338623462022913,0.25758272138479943
2016-09-26,bear,223.0,220.0,0.25758272138479943,0.338623462022913
2016-09-27,bear,220.0,223.0,0.37864952295804827,0.29335066629360673
2016-09-27,bear,223.0,220.0,0.29335066629360673,0.37864952295804827
2016-09-28,bear,220.0,223.0,0.4116622829527274,0.32352511222384706
2016-09-28,bear,223.0,220.0,0.32352511222384706,0.4116622829527274
2016-09-29,bear,220.0,223.0,0.35171737918008256,0.2691846205528261
2016-09-29,bear,223.0,220.0,0.2691846205528261,0.35171737918008256
2016-09-30,bear,220.0,223.0,0.401109894544637,0.31381399158917805
2016-09-30,bear,223.0,220.0,0.31381399158917805,0.401109894544637
2016-10-03,bear,219.0,223.0,0.41556348036406743,0.2991807079064941
2016-10-03,bear,223.0,220.0,0.2991807079064941,0.38508005160828607
2016-10-04,bear,219.0,223.0,0.3814102838934128,0.2691846205528261
2016-10-04,bear,223.0,220.0,0.2691846205528261,0.35171737918008256
2016-10-05,bear,218.0,223.0,0.4419487281442682,0.2950115928062094
2016-10-05,bear,223.0,220.0,0.2950115928062094,0.3804841166936516
2016-10-06,bear,218.0,224.0,0.44670673342634365,0.27283700963405494
2016-10-06,bear,224.0,220.0,0.27283700963405494,0.38508005160828607
2016-10-07,bear,218.0,224.0,0.42328838942941527,0.25342293950463457
