Ticker,Month,Mean Return,Std Return,Highest Return Value,Highest Return Year,Lowest Return Value,Lowest Return Year,Mean Volume,Highest Volume Value,Highest Volume Year,Lowest Volume Value,Lowest Volume Year,Mean ATR,Mean RSI,Mean 20 Day MA,Mean Upper Band,Mean Lower Band,Mean Tenkan-sen,Mean Kijun-sen,Mean Senkou Span A,Mean Senkou Span B,Mean Chikou Span,Close > RSI,Close > Upper Band,High > ATR
SOXL,Jan,9.19622016101863,25.4177253067802,50.15512247367533,2023,-34.45081542306567,2022,414530353.84615386,1968469900,2023,88821000,2017,0.8922814066809335,58.027391611517444,11.750028067533224,13.993643956702682,9.506412178363764,11.81914808497979,11.618332276920494,10.965962825510426,9.811348794329733,10.943995297649176,1,5,13
SOXL,Feb,8.268687330408497,12.709935888196165,30.88515795729492,2015,-15.849104622346989,2020,411961515.38461536,1633245000,2023,82638000,2017,1.0370365849925025,57.375413543090374,11.43322549625477,13.779778108276103,9.08667288423344,11.273077831263484,11.559557188781891,11.624542130475586,10.625846576413162,9.970995079505782,0,2,13
SOXL,Mar,0.4076190328474739,20.807547135112227,27.646504864312703,2016,-53.78536704027671,2020,532739592.85714287,1963789200,2023,36522000,2010,1.0062460386491208,53.726311412327235,10.486611972657364,12.898393798445237,8.074830146869486,9.345125838253638,10.5997004159198,11.510343923137354,11.259212377829764,8.79089123236126,0,4,14
SOXL,Apr,-2.9624109418073172,21.662051954250046,38.28372747140713,2020,-42.650849739089644,2022,455704978.5714286,1243481300,2023,99570000,2010,0.7444316280175748,49.637202174129776,9.31725554985683,11.365841014035484,7.268670085678176,9.242557929940306,9.33066373796638,10.488031379280406,11.301534559246184,8.539422686617936,0,2,14
SOXL,May,9.360998792738867,25.94573011492669,48.629657757574506,2023,-43.63201038092607,2019,494904464.28571427,1512376700,2023,98988000,2014,0.7087007710710332,50.307908475813534,8.451071699731553,10.043174455345934,6.858968944117175,8.220471390936899,8.669257603540334,9.380561562118407,10.707469787092615,9.03162740691114,0,7,14
SOXL,Jun,-1.9147229190805253,23.55339060651553,39.896213699508266,2019,-47.304907241172955,2022,435767871.4285714,1165172000,2022,126126000,2014,0.6422974616514255,54.35127450114489,8.865889396224546,10.602695247218731,7.12908354523036,9.08883310049293,8.681503230122297,8.615896772305511,9.350887328194627,9.795189690935478,0,2,14
SOXL,Jul,9.496946171088632,19.09376303636408,51.37404081114438,2022,-17.40171066441273,2011,433033214.28571427,1429815700,2022,127260000,2016,0.6002958796793986,53.57430431927346,9.14455720156514,10.507241093987316,7.781873309142966,9.185550173458655,9.202396683267278,8.785680068406837,9.173683193777086,9.70021171300138,0,4,14
SOXL,Aug,-4.4584158810120575,18.397393510343893,20.74200284841603,2014,-32.70007101320338,2010,440586392.85714287,1394445100,2022,95271000,2016,0.6410232781273795,48.809002221400924,9.835097338189655,11.32914312057099,8.341051555808319,9.760560926029013,9.589361757991904,9.110300661845356,8.727604406693157,9.188883255400999,0,2,14
SOXL,Sep,-1.3058137981871523,20.482875758857666,44.23865093160651,2010,-36.894589168446934,2022,507754764.28571427,2032678100,2022,117265500,2016,0.603100135224857,52.87368569863117,9.616900187262733,11.052591635094599,8.18120873943087,9.533607114531364,9.62617801402099,9.639211306019662,9.309618144208413,9.192539133762123,0,3,14
SOXL,Oct,6.4524557365613635,21.458704075785413,42.894384380008745,2011,-34.9718570150949,2018,661970235.7142857,3103110500,2022,102103500,2016,0.5935575853271009,51.28907832685138,9.011475556436508,10.555658926142486,7.46729218673053,8.899385308600774,9.100552968653814,9.640065435397165,9.533181104490215,11.871777256314228,0,5,14
SOXL,Nov,20.17787905860258,23.194992403364093,63.072909944833235,2020,-13.351636745786399,2011,533366678.5714286,2565422800,2022,84456000,2013,0.6978682409204258,60.2463439391643,10.070400517085895,12.347923737463429,7.792877296708359,10.791275483349285,9.997450090758036,9.095121992767428,9.509388811469366,12.916860943463936,0,4,14
SOXL,Dec,3.6044633196048816,17.9393942478367,37.65892307631844,2023,-30.028941462889513,2022,441801121.4285714,2034103700,2022,85752000,2013,0.8858644960065494,56.2450817039005,12.187829548089564,13.976009170462637,10.399649925716494,12.405498533154875,11.838021788801859,9.844913861156334,9.721649013430811,11.546075807108126,1,3,14
