Ticker,Month,Mean Return,Standard Deviation,Count,Positive Probability,Kelly Size
SPY,1,0.12010763613640273,4.4066198658547195,23.0,0.4583333333333333,-19.414833525881896
SPY,2,-0.42675299282065365,4.401942669839808,24.0,0.5,5.657483068536744
SPY,3,1.3555719005853437,4.649284746388723,24.0,0.7083333333333334,-0.29201300298260147
SPY,4,2.0199844387503387,4.871542295306779,24.0,0.75,0.147081704956035
SPY,5,0.48327722437180726,3.525540637664629,24.0,0.6666666666666666,-1.765022958439185
SPY,6,-0.3203468639430777,3.9667103476293777,24.0,0.5833333333333334,5.742728239951154
SPY,7,1.6517128707185986,3.9023711677319257,24.0,0.6666666666666666,-0.12087359671945697
SPY,8,0.20399562814047792,3.6913575181704,24.0,0.625,-6.160729095922854
SPY,9,-1.5320359424799126,5.029788990432934,24.0,0.5,2.141537528907838
SPY,10,1.4256300423205754,5.7818138957212675,24.0,0.625,-0.8958575482642122
SPY,11,2.3739135458094367,4.446485427178264,24.0,0.75,0.28173469237880994
SPY,12,0.7935151813747172,3.591287661245519,24.0,0.6666666666666666,-0.841931927512645
QQQ,1,0.924943054417401,6.254756357054542,23.0,0.5833333333333334,-2.2342979464081076
QQQ,2,-0.4954873823251406,8.083712578414469,24.0,0.4166666666666667,9.9335568485054
QQQ,3,1.2840845088088797,5.8930938194817095,24.0,0.6666666666666666,-0.8631116251967351
QQQ,4,1.7351492304813965,7.966014180109359,24.0,0.625,-1.0966129109034795
QQQ,5,0.790041640519786,6.065327056386275,24.0,0.5833333333333334,-2.615510217703926
QQQ,6,0.15129795873299368,5.880444614830117,24.0,0.5416666666666666,-17.272213998792648
QQQ,7,2.2616088143761393,5.601019099831724,24.0,0.75,0.13085898584358457
QQQ,8,0.8193299961040413,5.7124198246153215,24.0,0.5416666666666666,-2.653861914082242
QQQ,9,-2.3686574457900247,7.738047429945675,24.0,0.4166666666666667,2.322328884234021
QQQ,10,2.872045924357781,7.968585313247715,24.0,0.625,-0.41544975991673594
QQQ,11,2.2561478211960178,8.078757647879607,24.0,0.75,-0.14519374262420193
QQQ,12,-0.37682953167650163,4.7834214229113075,24.0,0.5,6.846930137919434
SOXL,1,9.196219307677843,25.41772355421634,13.0,0.6153846153846154,-0.44766610076027913
SOXL,2,8.268691517854087,12.709937539048784,13.0,0.7692307692307693,0.414511706041863
SOXL,3,0.44555909909352237,20.820372587932518,13.0,0.5,-22.864322073425264
SOXL,4,-2.9624138699924543,21.66205392082833,14.0,0.35714285714285715,5.05790605333885
SOXL,5,9.361007105711593,25.945729730431275,14.0,0.7142857142857143,-0.07762327088565857
SOXL,6,-1.8658580690041915,23.580193160453057,14.0,0.42857142857142855,7.6501261199626915
SOXL,7,9.496953267512955,19.093760449344256,14.0,0.6428571428571429,-0.0751836822785471
SOXL,8,-4.458416829621138,18.397396383499572,14.0,0.5,2.5632207672093017
SOXL,9,-1.2465780282128194,20.45462329865492,14.0,0.35714285714285715,10.905540465950658
SOXL,10,6.452448735923483,21.458691566637604,14.0,0.5714285714285714,-0.8538570025251315
SOXL,11,20.1778842529836,23.1949929533361,14.0,0.8571428571428571,0.6929249252546217
SOXL,12,4.031774851375367,17.949801454425334,14.0,0.5714285714285714,-1.336607550497315
TSLA,1,8.923710779751385,21.736984889682912,13.0,0.6153846153846154,-0.3214878371263473
TSLA,2,3.218659179548187,12.974624648253497,13.0,0.46153846153846156,-1.7090350472852558
TSLA,3,0.9591156667752574,15.650027027865404,13.0,0.5384615384615384,-6.992527316888768
TSLA,4,6.091480482677432,21.622424807915515,13.0,0.5384615384615384,-1.0998233922635445
TSLA,5,5.544112022067865,25.93613923187452,13.0,0.46153846153846156,-2.0574606815089522
TSLA,6,10.19336641326436,12.434370906949198,13.0,0.7142857142857143,0.365757342210079
TSLA,7,3.4696243984721624,16.43330462280553,14.0,0.5,-1.868167665359092
TSLA,8,6.791826480150172,22.39069154997407,14.0,0.5,-1.1483556827764387
TSLA,9,-1.3239807619401216,7.788341867058929,14.0,0.35714285714285715,4.13876215568566
TSLA,10,2.9651619201139785,20.072530231183983,14.0,0.35714285714285715,-3.994649652669406
TSLA,11,9.803377225509672,22.183514743084515,14.0,0.7142857142857143,0.0677588160898529
TSLA,12,-0.3628200285938189,17.79954428357481,14.0,0.5714285714285714,21.596662903439814
NVDA,1,4.177427374337432,21.752669137423958,23.0,0.375,-2.8794954089228897
NVDA,2,6.952779816021056,18.163007452420008,24.0,0.6666666666666666,-0.204112500469122
NVDA,3,5.693639437006108,15.578007082864971,24.0,0.5833333333333334,-0.5566820041921764
NVDA,4,0.5963985422000847,13.664809885398135,24.0,0.5833333333333334,-8.96342170161173
NVDA,5,10.634156824348787,22.94974981299388,24.0,0.75,0.21047086308605212
NVDA,6,-2.7692478734471293,16.793744978647688,24.0,0.4583333333333333,3.7432006616273528
NVDA,7,-2.2052282885745518,15.72347169122875,24.0,0.5,4.065043984945504
NVDA,8,7.004187188587653,12.815862671147869,24.0,0.75,0.2925642431419619
NVDA,9,-1.128960974712163,13.020056517564432,24.0,0.5833333333333334,5.388657583242264
NVDA,10,4.861933310983769,19.194682821117418,24.0,0.5416666666666666,-1.2678116615950406
NVDA,11,9.008440990939144,18.030498373999823,24.0,0.7916666666666666,0.37468510107781056
NVDA,12,2.1536550937715573,15.854191912359058,24.0,0.625,-2.135572936831305
