Date,Open,High,Low,Close,Volume
2008-12-01,85499.267578125,99281.74951171876,64466.44775390625,66575.4296875,63419
2009-01-01,65959.8235755793,89204.22044225856,57364.29869206966,79206.5078125,96019
2009-02-01,82957.09327821402,105107.10457951536,65857.23895399785,103260.3203125,154223
2009-03-01,110351.0218018659,135658.79746303763,63303.63884976874,72092.9609375,178295
2009-04-01,74692.15728699551,75353.35159753363,47970.78721973094,50843.5625,150722
2009-05-01,50649.7613030072,51926.550244248894,40709.0474033398,41130.84375,163526
2009-06-01,39546.25689344773,44984.009715060456,36251.68547741821,40070.65234375,175708
2009-07-01,39637.45553531453,47275.38915874299,30471.935187200383,31509.326171875,230541
2009-08-01,30471.93789239036,31748.72690995404,26276.77397753826,27747.361328125,176937
2009-09-01,28214.75886523529,30209.74181530243,22913.804169342595,24407.19140625,168556
2009-10-01,24635.19085923474,27131.769664497308,21215.21989312164,25398.984375,199563
2009-11-01,25170.98029340184,25946.173527075443,20120.82437402819,21078.416015625,161438
2009-12-01,20485.62399889502,21477.415477973405,18661.63966955545,19505.232421875,106754
2010-01-01,19026.43528514797,21625.612783658304,17601.447621490996,21523.013671875,105488
2010-02-01,21078.41996939911,23119.002540801182,18798.43944269288,19208.8359375,154913
2010-03-01,18946.63595509069,18969.43575768406,15503.86576349178,15948.4619140625,99607
2010-04-01,15640.664991279626,15891.462826416762,13816.68073573681,14911.0712890625,91828
2010-05-01,14705.872038929583,21067.016688327032,14227.076205103973,18091.642578125,222319
2010-06-01,18661.635318921235,20930.21529965753,15766.06087114726,20804.81640625,148817
2010-07-01,20759.21850887345,22058.80714699074,15720.462561085393,16621.0546875,142805
2010-08-01,15845.865494080146,19425.435109289618,15332.869848588343,18775.640625,120444
2010-09-01,17989.043416930857,18023.243119244413,13565.881917710847,14158.6767578125,114082
2010-10-01,13839.480363609146,14500.674647867245,12152.294948605724,12494.2919921875,100974
2010-11-01,12323.292467738886,12710.889085595612,11149.102713643506,12243.4931640625,115590
2010-12-01,11719.0967476126,11730.496647172537,9906.512717583024,9997.7119140625,65328
2011-01-01,9803.912920377765,9929.311806568645,8948.920514530866,9279.517578125,75701
2011-02-01,9097.120356630532,9119.920157023089,8025.529738180318,8294.5673828125,89199
2011-03-01,8201.090239449833,9787.95674116156,8027.811713400851,8116.73095703125,182100
2011-04-01,7961.691586436478,8673.045473884411,7368.896680229867,7389.41650390625,118436
2011-05-01,7293.656579975329,8239.84835261983,7270.856778224859,7580.93408203125,164252
2011-06-01,7640.213414510092,9195.159862942166,7626.533533732097,7879.611328125,217512
2011-07-01,7865.931783471095,8506.606227284248,7204.737517614105,8292.2880859375,230283
2011-08-01,7986.773981726178,12995.892576602688,7952.57426441933,8775.6474609375,477120
